APVA Branch Forecast Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Model Comparison Table
Model | Top1Accuracy_6E | Top1Accuracy_CL | Top1Accuracy_NQ | MeanTop1Accuracy | Top2Accuracy | Top3Accuracy | MeanBrierScore | MeanCalibrationError | MeanForecastEntropy | UniqueKeyCount | SparseKeyRate
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 54 | 4.30% | 2.06% | 7.84% | 3
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 53 | 46.99% | 41.67% | 64.29% | 3
DestructiveRotation_Age2 | DecayToNeutral_Age1 | 51 | 45.00% | 33.33% | 18.18% | 3
MixedStructure_Age2 | MixedStructure_Age3 | 51 | 11.83% | 17.86% | 14.81% | 3
NeutralProcessing_Age6-10 | ExhaustionPersistence_Age1 | 51 | 1.42% | 1.92% | 3.14% | 3
NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | 50 | 5.16% | 6.67% | 5.41% | 3
DestructiveRotation_Age1 | RecoveryResolution_Age1 | 49 | 5.14% | 5.63% | 3.17% | 3
NeutralProcessing_Age2 | DestructiveRotation_Age1 | 47 | 1.25% | 1.98% | 1.14% | 3
MixedStructure_Age2 | ExhaustionPersistence_Age1 | 46 | 12.11% | 10.71% | 0.00% | 2
DestructiveRotation_Age1 | MixedStructure_Age1 | 45 | 5.02% | 1.41% | 3.17% | 3
CompressionProcessing_Age2 | DecayToNeutral_Age1 | 44 | 2.47% | 2.17% | 1.96% | 3
CompressionProcessing_Age4 | ExhaustionPersistence_Age1 | 38 | 6.63% | 9.09% | 5.56% | 3
RecoveryResolution_Age3 | NeutralProcessing_Age1 | 38 | 12.35% | 18.52% | 22.22% | 3
CompressionProcessing_Age3 | RecoveryResolution_Age1 | 37 | 4.05% | 2.44% | 6.67% | 3
NeutralProcessing_Age4 | MixedStructure_Age1 | 36 | 2.44% | 3.77% | 0.00% | 2
ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 35 | 32.53% | 33.33% | 28.57% | 3
RecoveryResolution_Age3 | ExhaustionPersistence_Age1 | 35 | 12.35% | 14.81% | 0.00% | 2
MixedStructure_Age2 | RecoveryResolution_Age1 | 34 | 7.32% | 14.29% | 14.81% | 3
ExhaustionPersistence_Age4 | DecayToNeutral_Age1 | 33 | 22.38% | 6.25% | 0.00% | 2
CompressionProcessing_Age1 | MixedStructure_Age1 | 32 | 0.96% | 1.69% | 1.12% | 3
DestructiveRotation_Age1 | CompressionProcessing_Age1 | 28 | 2.99% | 1.41% | 3.17% | 3
ExhaustionPersistence_Age4 | NeutralProcessing_Age1 | 27 | 16.08% | 18.75% | 9.09% | 3
NeutralProcessing_Age1 | ConstructiveEmergence_Age1 | 27 | 0.35% | 0.67% | 1.35% | 3
NeutralProcessing_Age4 | CompressionProcessing_Age1 | 26 | 1.98% | 0.00% | 0.00% | 1
NeutralProcessing_Age6-10 | RecoveryResolution_Age1 | 26 | 0.80% | 0.48% | 1.05% | 3
NeutralProcessing_Age4 | ReassertionProcessing_Age1 | 25 | 1.52% | 3.77% | 1.20% | 3
