APVA Neutral Failure Timing Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
ReferenceFailureCount: 2052
StableControlCount: 14630
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 931 | 931 | 0 | 0 | 45.37%
2 | RangePressure+VolumePressure+CloseExtremePressure+PolarityInstability | 22 | NeutralProcessing_Age3
6-10 | VolumePressure+CloseExtremePressure+PolarityInstability | 21 | NeutralProcessing_Age6-10
4 | RangePressure+VolumePressure+EfficiencyPressure+PolarityInstability | 21 | NeutralProcessing_Age5
5 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 20 | NeutralProcessing_Age6-10
5 | RangePressure+VolumePressure+EfficiencyPressure+PolarityInstability | 19 | NeutralProcessing_Age6-10
2 | VolumePressure+CloseExtremePressure+PolarityInstability | 19 | NeutralProcessing_Age3
2 | VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 19 | NeutralProcessing_Age3
3 | RangePressure+VolumePressure+EfficiencyPressure+PolarityInstability | 19 | NeutralProcessing_Age4
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 19 | NeutralProcessing_Age6-10
2 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 18 | NeutralProcessing_Age3
2 | RangePressure+EfficiencyPressure+PolarityInstability | 18 | NeutralProcessing_Age3
5 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure | 17 | NeutralProcessing_Age6-10
11-20 | RangePressure+VolumePressure+PolarityInstability | 16 | NeutralProcessing_Age11-20
2 | BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure | 16 | NeutralProcessing_Age3
6-10 | RangePressure+BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 16 | NeutralProcessing_Age6-10

9. Missed Failure Anatomy Table
FailureNode | DestinationFamily | Count | TopMissingSignal
