APVA Memory Forecast Study v0.1
============================================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Node count: 41

1. Memory Stream Reconstruction
Bar | StateAgeNode | NodeCategory | MemoryStrength | HalfLife | ForecastConfidence | EntropyGrowth | AttentionCategory
220 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
221 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
222 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
223 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
224 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
225 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
226 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
227 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
228 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
229 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
230 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
