APVA Phase Transition Matrix Study v0.1 - 6E
=============================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Structural state counts: {'MixedStructure': 3671, 'NeutralProcessing': 16992, 'ReassertionProcessing': 2011, 'RecoveryResolution': 1696, 'CompressionProcessing': 6489, 'ExhaustionPersistence': 1884, 'DecayToNeutral': 1486, 'DestructiveRotation': 948, 'ConstructiveEmergence': 83}
Lifecycle phase counts: {'Terminal': 7908, 'Growth': 6973, 'Maturity': 2937, 'Insufficient': 68, 'Birth': 12364, 'Decay': 5010}
Valid phase observations: 35192

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth              12364     35.07%
Growth              6973     19.78%
Maturity            2937      8.33%
Decay               5010     14.21%
Terminal            7908     22.43%
Insufficient          68      0.19%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
Insufficient    5 RecoveryResolution                   1        1.47%     0.306
Insufficient    5 ExhaustionPersistence                2        2.94%     0.550
Insufficient    5 CompressionProcessing               13       19.12%     1.039
Insufficient    5 NeutralProcessing                   43       63.24%     1.312
Insufficient    5 DecayToNeutral                       1        1.47%     0.349
Insufficient    5 DestructiveRotation                  2        2.94%     1.094
Insufficient    5 MixedStructure                       6        8.82%     0.848

Section 3 - Phase -> Phase Tables
=================================
Phase           H NextPhase                        Count  Probability      Lift
Birth           1 Birth                             4521       36.57%     1.043
Birth           1 Growth                            4864       39.34%     1.989
Birth           1 Maturity                           643        5.20%     0.624
Birth           1 Terminal                          2336       18.89%     0.843
Growth          1 Birth                             1614       23.15%     0.660
Growth          1 Growth                            1754       25.15%     1.272
Growth          1 Maturity                          2194       31.46%     3.777
Growth          1 Terminal                          1411       20.24%     0.902
Maturity        1 Birth                              624       21.25%     0.606
Maturity        1 Decay                             1954       66.53%     4.682
Maturity        1 Terminal                           340       11.58%     0.516
Maturity        1 Insufficient                        19        0.65%     3.354
Decay           1 Birth                              708       14.13%     0.403
Decay           1 Decay                             3038       60.64%     4.268
Decay           1 Terminal                          1264       25.23%     1.125
Terminal        1 Birth                             4858       61.44%     1.752
Terminal        1 Growth                             355        4.49%     0.227
Terminal        1 Maturity                           100        1.26%     0.152
Terminal        1 Decay                               18        0.23%     0.016
Terminal        1 Terminal                          2542       32.15%     1.434
Terminal        1 Insufficient                        34        0.43%     2.230
Insufficient    1 Birth                               39       57.35%     1.636
Insufficient    1 Terminal                            14       20.59%     0.918
Insufficient    1 Insufficient                        15       22.06%   114.378
Birth           2 Birth                             4362       35.28%     1.006
Birth           2 Growth                            4091       33.09%     1.673
Birth           2 Maturity                          1188        9.61%     1.154
Birth           2 Decay                              234        1.89%     0.133
Birth           2 Terminal                          2488       20.12%     0.897
Growth          2 Birth                             2508       35.97%     1.026
Growth          2 Growth                             584        8.38%     0.424
Growth          2 Maturity                          1362       19.53%     2.345
Growth          2 Decay                             1720       24.67%     1.736
Growth          2 Terminal                           791       11.34%     0.506
Growth          2 Insufficient                         8        0.11%     0.595
Maturity        2 Birth                             1018       34.66%     0.988
Maturity        2 Growth                             174        5.92%     0.300
Maturity        2 Maturity                            98        3.34%     0.401
Maturity        2 Decay                             1111       37.83%     2.662
Maturity        2 Terminal                           518       17.64%     0.786
Maturity        2 Insufficient                        18        0.61%     3.178
Decay           2 Birth                             1271       25.37%     0.723
Decay           2 Growth                             268        5.35%     0.271
Decay           2 Maturity                            60        1.20%     0.144
Decay           2 Decay                             1936       38.64%     2.719
Decay           2 Terminal                          1475       29.44%     1.313
Terminal        2 Birth                             3174       40.14%     1.145
Terminal        2 Growth                            1840       23.27%     1.177
Terminal        2 Maturity                           226        2.86%     0.343
Terminal        2 Decay                                9        0.11%     0.008
Terminal        2 Terminal                          2622       33.16%     1.479
Terminal        2 Insufficient                        36        0.46%     2.361
Insufficient    2 Birth                               31       45.59%     1.300
Insufficient    2 Growth                              15       22.06%     1.116
Insufficient    2 Maturity                             3        4.41%     0.530
Insufficient    2 Terminal                            13       19.12%     0.852
Insufficient    2 Insufficient                         6        8.82%    45.750
Birth           3 Birth                             5302       42.89%     1.223
Birth           3 Growth                            2211       17.88%     0.904
Birth           3 Maturity                          2153       17.41%     2.091
Birth           3 Decay                              712        5.76%     0.405
Birth           3 Terminal                          1961       15.86%     0.707
Birth           3 Insufficient                        24        0.19%     1.007
Growth          3 Birth                             2132       30.58%     0.872
Growth          3 Growth                            1322       18.96%     0.959
Growth          3 Maturity                           149        2.14%     0.257
Growth          3 Decay                             2194       31.46%     2.214
