APVA Excursion Destinations Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Destination event count: 747

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
ReassertionProcessing | PolarityFlipFlag | t-2 | 0.6426 | 1.0000 | 0.4792
ReassertionProcessing | PolarityFlipFlag | t-3 | 0.6730 | 1.0000 | 0.4691
ReassertionProcessing | PolarityFlipFlag | t-5 | 0.6882 | 1.0000 | 0.4632
RecoveryResolution | RangeRelativeToPrevious | t-1 | 2.5299 | 2.2500 | 1.0539
RecoveryResolution | RangeRelativeToPrevious | t-2 | 0.9702 | 1.0000 | 0.4405
RecoveryResolution | RangeRelativeToPrevious | t-3 | 1.1140 | 1.0000 | 0.4976
RecoveryResolution | RangeRelativeToPrevious | t-5 | 0.9202 | 1.0000 | 0.3194
RecoveryResolution | BodyRelativeToPrevious | t-1 | 5.3238 | 4.0000 | 4.6176
RecoveryResolution | BodyRelativeToPrevious | t-2 | 0.9500 | 1.0000 | 0.6982
RecoveryResolution | BodyRelativeToPrevious | t-3 | 1.4643 | 1.0000 | 1.3392
RecoveryResolution | BodyRelativeToPrevious | t-5 | 1.0053 | 0.5000 | 1.0378
RecoveryResolution | TrueRangeRelativeToPrevious | t-1 | 2.4212 | 2.4444 | 0.9595
RecoveryResolution | TrueRangeRelativeToPrevious | t-2 | 0.9802 | 1.0000 | 0.4335
RecoveryResolution | TrueRangeRelativeToPrevious | t-3 | 1.1210 | 1.0000 | 0.4726
RecoveryResolution | TrueRangeRelativeToPrevious | t-5 | 0.9202 | 1.0000 | 0.2378
RecoveryResolution | VolumeRelativeToPrevious | t-1 | 2.6183 | 1.9908 | 1.3158
RecoveryResolution | VolumeRelativeToPrevious | t-2 | 1.4537 | 1.0323 | 1.0867
RecoveryResolution | VolumeRelativeToPrevious | t-3 | 1.2447 | 1.2180 | 0.7507
RecoveryResolution | VolumeRelativeToPrevious | t-5 | 1.2313 | 1.0442 | 0.9334
RecoveryResolution | VolumeRelativeToRollingMean | t-1 | 1.9258 | 1.5374 | 1.1663
RecoveryResolution | VolumeRelativeToRollingMean | t-2 | 0.7284 | 0.7512 | 0.2300
RecoveryResolution | VolumeRelativeToRollingMean | t-3 | 0.6244 | 0.5381 | 0.3097
RecoveryResolution | VolumeRelativeToRollingMean | t-5 | 0.6019 | 0.6045 | 0.2450
RecoveryResolution | VolumeRelativeToSessionMean | t-1 | 1.1012 | 1.2716 | 1.0504
RecoveryResolution | VolumeRelativeToSessionMean | t-2 | 0.4922 | 0.4489 | 0.3889
RecoveryResolution | VolumeRelativeToSessionMean | t-3 | 0.4669 | 0.4220 | 0.4397
RecoveryResolution | VolumeRelativeToSessionMean | t-5 | 0.4385 | 0.3656 | 0.3541
RecoveryResolution | EfficiencyRatio | t-1 | 0.7004 | 0.8000 | 0.2540
RecoveryResolution | EfficiencyRatio | t-2 | 0.4224 | 0.3333 | 0.3164
RecoveryResolution | EfficiencyRatio | t-3 | 0.4028 | 0.5000 | 0.2720
RecoveryResolution | EfficiencyRatio | t-5 | 0.4675 | 0.4286 | 0.3044
RecoveryResolution | CloseLocation | t-1 | 0.4922 | 0.4444 | 0.3865
RecoveryResolution | CloseLocation | t-2 | 0.5973 | 0.7500 | 0.3834
RecoveryResolution | CloseLocation | t-3 | 0.5180 | 0.5000 | 0.3308
RecoveryResolution | CloseLocation | t-5 | 0.5314 | 0.5000 | 0.3448
RecoveryResolution | MemoryStrength | t-1 | 0.2232 | 0.2232 | 0.0000
RecoveryResolution | MemoryStrength | t-2 | 0.2623 | 0.2232 | 0.0446
RecoveryResolution | MemoryStrength | t-3 | 0.3254 | 0.3132 | 0.0472
RecoveryResolution | MemoryStrength | t-5 | 0.3009 | 0.2651 | 0.0467
RecoveryResolution | BranchEntropy | t-1 | 1.1703 | 1.1703 | 0.0000
RecoveryResolution | BranchEntropy | t-2 | 0.9947 | 1.1703 | 0.2002
RecoveryResolution | BranchEntropy | t-3 | 0.6822 | 0.7665 | 0.2394
RecoveryResolution | BranchEntropy | t-5 | 1.0391 | 1.1703 | 0.1951
RecoveryResolution | PolarityFlipFlag | t-1 | 0.5217 | 1.0000 | 0.4995
RecoveryResolution | PolarityFlipFlag | t-2 | 0.6087 | 1.0000 | 0.4880
RecoveryResolution | PolarityFlipFlag | t-3 | 0.6522 | 1.0000 | 0.4763
RecoveryResolution | PolarityFlipFlag | t-5 | 0.6957 | 1.0000 | 0.4601
ExhaustionPersistence | RangeRelativeToPrevious | t-1 | 2.2417 | 2.0000 | 0.9816
ExhaustionPersistence | RangeRelativeToPrevious | t-2 | 1.0795 | 1.0000 | 0.5953
ExhaustionPersistence | RangeRelativeToPrevious | t-3 | 1.0212 | 1.0000 | 0.5092
ExhaustionPersistence | RangeRelativeToPrevious | t-5 | 0.9747 | 0.8571 | 0.4086
ExhaustionPersistence | BodyRelativeToPrevious | t-1 | 4.4387 | 3.7500 | 3.2021
ExhaustionPersistence | BodyRelativeToPrevious | t-2 | 0.9879 | 1.0000 | 0.9081
ExhaustionPersistence | BodyRelativeToPrevious | t-3 | 0.8235 | 0.5000 | 0.8051
ExhaustionPersistence | BodyRelativeToPrevious | t-5 | 1.0095 | 1.0000 | 0.9914
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-1 | 2.2915 | 2.0000 | 0.9609
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-2 | 1.0285 | 1.0000 | 0.4257
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-3 | 1.0395 | 1.0000 | 0.4982
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-5 | 1.0041 | 0.8333 | 0.4406
ExhaustionPersistence | VolumeRelativeToPrevious | t-1 | 3.7636 | 2.6602 | 2.7743
ExhaustionPersistence | VolumeRelativeToPrevious | t-2 | 1.1835 | 1.1348 | 0.6426
ExhaustionPersistence | VolumeRelativeToPrevious | t-3 | 0.9583 | 0.8218 | 0.5009
ExhaustionPersistence | VolumeRelativeToPrevious | t-5 | 1.0297 | 0.9889 | 0.5016
ExhaustionPersistence | VolumeRelativeToRollingMean | t-1 | 2.2025 | 1.7135 | 1.3680
ExhaustionPersistence | VolumeRelativeToRollingMean | t-2 | 0.7309 | 0.6284 | 0.3901
ExhaustionPersistence | VolumeRelativeToRollingMean | t-3 | 0.6816 | 0.5759 | 0.4085
ExhaustionPersistence | VolumeRelativeToRollingMean | t-5 | 0.6453 | 0.6173 | 0.2322
ExhaustionPersistence | VolumeRelativeToSessionMean | t-1 | 1.5474 | 1.4548 | 1.1444
ExhaustionPersistence | VolumeRelativeToSessionMean | t-2 | 0.5433 | 0.4164 | 0.4307
ExhaustionPersistence | VolumeRelativeToSessionMean | t-3 | 0.5236 | 0.3594 | 0.4765
ExhaustionPersistence | VolumeRelativeToSessionMean | t-5 | 0.5170 | 0.4757 | 0.3503
ExhaustionPersistence | EfficiencyRatio | t-1 | 0.6689 | 0.6667 | 0.2270
ExhaustionPersistence | EfficiencyRatio | t-2 | 0.3486 | 0.3333 | 0.2548
ExhaustionPersistence | EfficiencyRatio | t-3 | 0.3878 | 0.4000 | 0.3039
ExhaustionPersistence | EfficiencyRatio | t-5 | 0.4216 | 0.4000 | 0.3214
ExhaustionPersistence | CloseLocation | t-1 | 0.5816 | 0.6250 | 0.3346
ExhaustionPersistence | CloseLocation | t-2 | 0.4411 | 0.4286 | 0.3247
ExhaustionPersistence | CloseLocation | t-3 | 0.4928 | 0.5000 | 0.3108
ExhaustionPersistence | CloseLocation | t-5 | 0.4262 | 0.4000 | 0.3253
ExhaustionPersistence | MemoryStrength | t-1 | 0.2232 | 0.2232 | 0.0000
ExhaustionPersistence | MemoryStrength | t-2 | 0.2583 | 0.2232 | 0.0439
ExhaustionPersistence | MemoryStrength | t-3 | 0.2952 | 0.3132 | 0.0664
ExhaustionPersistence | MemoryStrength | t-5 | 0.2923 | 0.2651 | 0.0496
ExhaustionPersistence | BranchEntropy | t-1 | 1.1703 | 1.1703 | 0.0000
ExhaustionPersistence | BranchEntropy | t-2 | 1.0127 | 1.1703 | 0.1970
ExhaustionPersistence | BranchEntropy | t-3 | 0.8209 | 0.7665 | 0.3276
ExhaustionPersistence | BranchEntropy | t-5 | 0.9932 | 1.1703 | 0.2745
ExhaustionPersistence | PolarityFlipFlag | t-1 | 0.6098 | 1.0000 | 0.4878
ExhaustionPersistence | PolarityFlipFlag | t-2 | 0.7317 | 1.0000 | 0.4431
ExhaustionPersistence | PolarityFlipFlag | t-3 | 0.6829 | 1.0000 | 0.4653
ExhaustionPersistence | PolarityFlipFlag | t-5 | 0.7317 | 1.0000 | 0.4431
ConstructiveEmergence | RangeRelativeToPrevious | t-1 | 1.4334 | 1.3492 | 0.5702
ConstructiveEmergence | RangeRelativeToPrevious | t-2 | 1.5427 | 1.4423 | 1.0600
ConstructiveEmergence | RangeRelativeToPrevious | t-3 | 1.2040 | 1.1000 | 0.6924
ConstructiveEmergence | RangeRelativeToPrevious | t-5 | 1.2047 | 0.9351 | 0.7770
ConstructiveEmergence | BodyRelativeToPrevious | t-1 | 1.4816 | 0.8846 | 1.7925
ConstructiveEmergence | BodyRelativeToPrevious | t-2 | 1.9578 | 0.7059 | 2.5729
ConstructiveEmergence | BodyRelativeToPrevious | t-3 | 1.1173 | 0.5714 | 1.4467
ConstructiveEmergence | BodyRelativeToPrevious | t-5 | 0.5040 | 0.5556 | 0.3179
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-1 | 1.4334 | 1.3492 | 0.5702
