APVA Loop Closure Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Loop candidates: 2061

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
6E | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50
Aggregate | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
MixedStructure -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing | 7 | 0.34% | 1 | 9.4286
ReassertionProcessing -> MixedStructure -> RecoveryResolution -> CompressionProcessing | 7 | 0.34% | 1 | 4.7143
CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution | 7 | 0.34% | 1 | 7.0000
MixedStructure -> DestructiveRotation | 6 | 0.29% | 1 | 2.0000
ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> MixedStructure | 6 | 0.29% | 1 | 4.0000
ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 6 | 0.29% | 1 | 6.5000
ReassertionProcessing -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral | 5 | 0.24% | 1 | 4.8000
ExhaustionPersistence -> RecoveryResolution | 5 | 0.24% | 1 | 3.6000
ConstructiveEmergence -> MixedStructure | 5 | 0.24% | 1 | 2.6000
CompressionProcessing -> ReassertionProcessing | 4 | 0.19% | 1 | 2.0000
MixedStructure -> ExhaustionPersistence -> DestructiveRotation -> DecayToNeutral | 4 | 0.19% | 1 | 4.7500
CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing -> DecayToNeutral | 4 | 0.19% | 1 | 5.5000
MixedStructure -> DecayToNeutral -> CompressionProcessing | 4 | 0.19% | 1 | 5.2500
ReassertionProcessing -> MixedStructure -> CompressionProcessing | 4 | 0.19% | 1 | 4.0000
ReassertionProcessing -> DestructiveRotation -> ReassertionProcessing -> DestructiveRotation | 4 | 0.19% | 1 | 5.7500
RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 4 | 0.19% | 1 | 4.7500
CompressionProcessing -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral | 3 | 0.15% | 1 | 4.0000
CompressionProcessing -> MixedStructure -> DecayToNeutral | 3 | 0.15% | 1 | 8.0000
MixedStructure -> RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 3 | 0.15% | 1 | 6.3333
ExhaustionPersistence -> DecayToNeutral | 3 | 0.15% | 1 | 5.0000
CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 3 | 0.15% | 1 | 13.3333
MixedStructure -> DestructiveRotation -> DecayToNeutral | 3 | 0.15% | 1 | 3.3333
DestructiveRotation -> ExhaustionPersistence | 3 | 0.15% | 1 | 2.0000
ReassertionProcessing -> MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral | 3 | 0.15% | 1 | 5.6667
MixedStructure -> ReassertionProcessing -> DestructiveRotation -> DecayToNeutral | 3 | 0.15% | 1 | 4.0000
MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> ExhaustionPersistence -> RecoveryResolution | 2 | 0.10% | 1 | 9.5000
MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DestructiveRotation -> DecayToNeutral | 2 | 0.10% | 1 | 5.5000
