APVA Trajectory Study v0.1 - 6E
===============================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Valid polarity rows: 31107
Family counts: {'A': 181, 'B': 3069, 'C': 5456, 'D': 6497, 'N': 20057}
Total path windows by length: {3: 35258, 4: 35257, 5: 35256}
Study 30 family precedence reused exactly: A, then B, then C, then D, then N.

Section 1 - Family Path Tables
==============================
Path                               Len    Count   Frequency    Expected       OER
B->N->C->C->N                        5       26      0.07%     23.7738    1.0936
B->N->C->N->D                        5       26      0.07%     28.3098    0.9184
B->N->D->N->C                        5       26      0.07%     28.3098    0.9184
B->N->N->D->D                        5       26      0.07%     33.7113    0.7713
C->C->D->N->N                        5       26      0.07%     50.3286    0.5166
D->D->C->N->N                        5       26      0.07%     59.9313    0.4338
D->D->D->N->N                        5       26      0.07%     71.3661    0.3643
N->B->C->B->N                        5       26      0.07%     13.3728    1.9442
N->B->D->N->D                        5       26      0.07%     33.7113    0.7713
N->C->N->D->D                        5       26      0.07%     59.9313    0.4338
N->D->D->B->N                        5       26      0.07%     33.7113    0.7713
N->N->D->C->D                        5       26      0.07%     59.9313    0.4338
B->N->N->N->B                        5       25      0.07%     49.1601    0.5085
C->B->N->C->C                        5       25      0.07%      6.4671    3.8657
C->B->N->N->B                        5       25      0.07%     13.3728    1.8695
C->C->B->N->C                        5       25      0.07%      6.4671    3.8657
D->B->D->N->N                        5       25      0.07%     33.7113    0.7416
N->D->N->B->C                        5       25      0.07%     28.3098    0.8831
B->B->N->N->D                        5       24      0.07%     15.9243    1.5071
C->B->C->B->N                        5       24      0.07%      3.6377    6.5975
C->B->C->N->C                        5       24      0.07%      6.4671    3.7111
C->C->C->C->B                        5       24      0.07%      1.7592   13.6425
C->N->C->C->B                        5       24      0.07%      6.4671    3.7111
D->B->N->D->N                        5       24      0.07%     33.7113    0.7119
D->B->N->N->C                        5       24      0.07%     28.3098    0.8478
N->B->N->C->C                        5       24      0.07%     23.7738    1.0095
N->C->B->C->B                        5       24      0.07%      3.6377    6.5975
N->C->C->D->N                        5       24      0.07%     50.3286    0.4769
N->C->N->B->C                        5       24      0.07%     23.7738    1.0095
N->C->N->D->B                        5       24      0.07%     28.3098    0.8478
N->D->C->C->B                        5       24      0.07%      7.7010    3.1165
N->N->C->B->D                        5       24      0.07%     28.3098    0.8478
C->B->B->C->N                        5       23      0.07%      3.6377    6.3226
C->B->C->C->C                        5       23      0.07%      1.7592   13.0741
C->C->B->N->D                        5       23      0.07%      7.7010    2.9866
C->N->B->N->D                        5       23      0.07%     28.3098    0.8124
C->N->D->B->N                        5       23      0.07%     28.3098    0.8124
C->N->D->N->B                        5       23      0.07%     28.3098    0.8124
C->N->N->D->B                        5       23      0.07%     28.3098    0.8124
D->N->N->B->D                        5       23      0.07%     33.7113    0.6823
N->B->N->B->N                        5       23      0.07%     49.1601    0.4679
N->C->D->N->C                        5       23      0.07%     50.3286    0.4570
N->D->B->B->N                        5       23      0.07%     15.9243    1.4443
N->D->C->C->C                        5       23      0.07%     13.6906    1.6800
N->D->C->D->N                        5       23      0.07%     59.9313    0.3838
N->N->D->B->D                        5       23      0.07%     33.7113    0.6823
B->C->C->C->N                        5       22      0.06%      6.4671    3.4019
B->C->C->N->C                        5       22      0.06%      6.4671    3.4019
C->C->C->B->C                        5       22      0.06%      1.7592   12.5057
C->N->C->B->C                        5       22      0.06%      6.4671    3.4019
N->C->C->B->B                        5       22      0.06%      3.6377    6.0477
N->C->D->N->D                        5       22      0.06%     59.9313    0.3671
B->D->C->N->N                        5       21      0.06%     28.3098    0.7418
C->C->C->N->D                        5       21      0.06%     13.6906    1.5339
C->C->N->N->B                        5       21      0.06%     23.7738    0.8833
D->B->C->N->N                        5       21      0.06%     28.3098    0.7418
D->B->N->C->N                        5       21      0.06%     28.3098    0.7418
D->C->C->N->C                        5       21      0.06%     13.6906    1.5339
D->C->D->N->N                        5       21      0.06%     59.9313    0.3504
D->C->N->B->N                        5       21      0.06%     28.3098    0.7418
