APVA Process Graph Study v0.1
============================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Node count: 41
Edge count: 221

1. Directed Graph Summary
SourceNode | DestinationNode | TransitionCount | TransitionProbability
NeutralProcessing_Age21+ | 82 | NeutralProcessing_Age21+ | 78.05% | MixedStructure_Age1 | 8.54% | 69.51%
NeutralProcessing_Age3 | 1754 | NeutralProcessing_Age4 | 74.80% | MixedStructure_Age1 | 10.95% | 63.85%
NeutralProcessing_Age4 | 1312 | NeutralProcessing_Age5 | 90.85% | MixedStructure_Age1 | 2.44% | 88.41%
NeutralProcessing_Age5 | 1192 | NeutralProcessing_Age6-10 | 81.21% | MixedStructure_Age1 | 6.21% | 75.00%
NeutralProcessing_Age6-10 | 2884 | NeutralProcessing_Age6-10 | 66.44% | MixedStructure_Age1 | 9.64% | 56.80%
ReassertionProcessing_Age1 | 1759 | NeutralProcessing_Age1 | 41.39% | MixedStructure_Age1 | 31.84% | 9.55%
ReassertionProcessing_Age2 | 237 | DestructiveRotation_Age1 | 45.99% | NeutralProcessing_Age1 | 43.46% | 2.53%
ReassertionProcessing_Age3 | 15 | DestructiveRotation_Age1 | 93.33% | CompressionProcessing_Age1 | 6.67% | 86.67%
RecoveryResolution_Age1 | 1079 | CompressionProcessing_Age1 | 56.26% | RecoveryResolution_Age2 | 31.42% | 24.84%
RecoveryResolution_Age2 | 339 | RecoveryResolution_Age3 | 74.04% | NeutralProcessing_Age1 | 25.96% | 48.08%
RecoveryResolution_Age3 | 251 | CompressionProcessing_Age1 | 68.92% | ExhaustionPersistence_Age1 | 12.35% | 56.57%
RecoveryResolution_Age4 | 16 | CompressionProcessing_Age1 | 62.50% | RecoveryResolution_Age5 | 37.50% | 25.00%
RecoveryResolution_Age5 | 6 | RecoveryResolution_Age6-10 | 83.33% | NeutralProcessing_Age1 | 16.67% | 66.67%
RecoveryResolution_Age6-10 | 5 | CompressionProcessing_Age1 | 60.00% | NeutralProcessing_Age1 | 40.00% | 20.00%

3. Process Chains
Depth | Chain | ChainProbability | ChainSupport
2 | NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 | 73.78% | 968
2 | NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 | 67.96% | 1192
2 | NeutralProcessing_Age21+ -> NeutralProcessing_Age21+ -> NeutralProcessing_Age21+ | 60.92% | 51
2 | NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 | 56.54% | 491
2 | DestructiveRotation_Age4 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 | 54.58% | 0
2 | MixedStructure_Age5 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 | 54.58% | 1
2 | NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 53.95% | 743
2 | RecoveryResolution_Age2 -> RecoveryResolution_Age3 -> CompressionProcessing_Age1 | 51.03% | 173
2 | RecoveryResolution_Age5 -> RecoveryResolution_Age6-10 -> CompressionProcessing_Age1 | 50.00% | 3
2 | ExhaustionPersistence_Age2 -> ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 | 47.04% | 143
2 | NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 44.14% | 1173
2 | NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 40.94% | 1312
2 | RecoveryResolution_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 | 39.05% | 112
2 | RecoveryResolution_Age4 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 | 35.41% | 7
2 | DestructiveRotation_Age3 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 | 34.73% | 1
2 | RecoveryResolution_Age6-10 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 | 34.00% | 1
2 | CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 | 33.57% | 282
2 | RecoveryResolution_Age1 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 | 31.87% | 395
2 | CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 | 31.83% | 528
2 | NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 30.92% | 1754
2 | DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 30.84% | 431
2 | CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 | 28.69% | 840
2 | ReassertionProcessing_Age3 -> DestructiveRotation_Age1 -> DecayToNeutral_Age1 | 27.80% | 1
2 | ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 | 24.79% | 58
2 | DestructiveRotation_Age2 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 | 24.56% | 27
2 | CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 | 24.05% | 127
2 | CompressionProcessing_Age6-10 -> CompressionProcessing_Age6-10 -> CompressionProcessing_Age6-10 | 23.60% | 56
2 | ReassertionProcessing_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 23.39% | 440
2 | MixedStructure_Age3 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 | 22.09% | 11
2 | CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> CompressionProcessing_Age6-10 | 21.88% | 64
2 | MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 21.10% | 713
