APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
State counts: RecoveryResolution=1696, ExhaustionPersistence=1884, CompressionProcessing=6489, NeutralProcessing=16992, ReassertionProcessing=2011, DecayToNeutral=1486, DestructiveRotation=948, ConstructiveEmergence=83, MixedStructure=3671
Age counts: 1=18224, 2=6199, 3=3147, 4=2008, 5=1539, 6-10=3165, 11-20=896, 21+=82
Validated context counts: B=310, C=255, D=233
Candidate interpretation counts: ValidatedContext=798, PreviousDistinctContext=35256, CurrentStateAge=35260

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age6-10 | 3 | 66.67% | 33.33% | 0.6365 | 0.9183 | CompressionProcessing | 66.67% | 0.0000
PreviousDistinctContext | DestructiveRotation->ConstructiveEmergence+Age1 | 3 | 0.00% | 100.00% | -0.0000 | 0.0000 | MixedStructure | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->DecayToNeutral+Age1 | 302 | 0.00% | 100.00% | 1.2661 | 0.7066 | NeutralProcessing | 52.65% | -0.1801
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age1 | 110 | 23.64% | 76.36% | 1.5113 | 0.9390 | DecayToNeutral | 33.64% | -0.3663
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age2 | 26 | 73.08% | 26.92% | 0.5825 | 0.8404 | ExhaustionPersistence | 73.08% | 0.6212
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age3 | 19 | 52.63% | 47.37% | 0.9933 | 0.9041 | ExhaustionPersistence | 52.63% | 0.1485
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age4 | 10 | 40.00% | 60.00% | 1.2799 | 0.9232 | ExhaustionPersistence | 40.00% | -0.1232
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age5 | 4 | 50.00% | 50.00% | 1.0397 | 0.9464 | ExhaustionPersistence | 50.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age6-10 | 3 | 33.33% | 66.67% | 1.0986 | 1.0000 | ExhaustionPersistence | 33.33% | 0.0000
PreviousDistinctContext | DestructiveRotation->MixedStructure+Age1 | 47 | 10.64% | 89.36% | 1.7799 | 0.8559 | NeutralProcessing | 25.53% | -0.4942
PreviousDistinctContext | DestructiveRotation->MixedStructure+Age2 | 5 | 0.00% | 100.00% | 1.3322 | 0.9610 | DecayToNeutral | 40.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age1 | 240 | 54.58% | 45.42% | 1.2886 | 0.7192 | NeutralProcessing | 54.58% | 0.3725
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age11-20 | 25 | 76.00% | 24.00% | 0.7938 | 0.5726 | NeutralProcessing | 76.00% | 0.9474
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age2 | 131 | 52.67% | 47.33% | 1.1780 | 0.6574 | NeutralProcessing | 52.67% | 0.3960
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age3 | 69 | 76.81% | 23.19% | 0.7675 | 0.5536 | NeutralProcessing | 76.81% | 0.9826
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age4 | 53 | 90.57% | 9.43% | 0.3597 | 0.3274 | NeutralProcessing | 90.57% | 1.4839
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age5 | 48 | 77.08% | 22.92% | 0.8349 | 0.4660 | NeutralProcessing | 77.08% | 1.0757
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age6-10 | 104 | 70.19% | 29.81% | 1.0278 | 0.5736 | NeutralProcessing | 70.19% | 0.8302
PreviousDistinctContext | DestructiveRotation->ReassertionProcessing+Age1 | 57 | 10.53% | 89.47% | 1.1500 | 0.8296 | DestructiveRotation | 54.39% | -0.1805
PreviousDistinctContext | DestructiveRotation->ReassertionProcessing+Age2 | 6 | 0.00% | 100.00% | 0.4506 | 0.6500 | DestructiveRotation | 83.33% | 0.0000
PreviousDistinctContext | DestructiveRotation->RecoveryResolution+Age1 | 49 | 0.00% | 100.00% | 0.4101 | 0.5917 | CompressionProcessing | 85.71% | 0.2655
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age1 | 167 | 44.91% | 55.09% | 1.1715 | 0.6538 | CompressionProcessing | 44.91% | 0.2444
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age2 | 75 | 42.67% | 57.33% | 1.5299 | 0.8538 | CompressionProcessing | 42.67% | -0.0005
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age3 | 32 | 50.00% | 50.00% | 0.8815 | 0.8024 | CompressionProcessing | 50.00% | 0.1976
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age4 | 16 | 68.75% | 31.25% | 0.9507 | 0.6858 | CompressionProcessing | 68.75% | 0.6892
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age5 | 11 | 54.55% | 45.45% | 0.6890 | 0.9940 | CompressionProcessing | 54.55% | 0.0969
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age6-10 | 14 | 57.14% | 42.86% | 1.0547 | 0.7608 | CompressionProcessing | 57.14% | 0.3820
