APVA Loop Closure Study v0.1 - Aggregate
================================================================================================
Instrument: Aggregate
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv, .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv, .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Loop candidates: 2342

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
6E | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50
CL | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37
NQ | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30
Aggregate | 2331 | 6 | 5 | 99.53% | 10.8039 | 9.0000 | 50

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 3 | 0.13% | 1 | 5.0000
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 3 | 0.13% | 1 | 8.6667
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 3 | 0.13% | 1 | 25.0000
NeutralStart -> Age6-10 -> RecoveryResolution -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.13% | 1 | 17.6667
NeutralStart -> Age6-10 -> ConstructiveEmergence -> ConstructiveEmergence -> MixedStructure -> MixedStructure -> NeutralStart | 3 | 0.13% | 1 | 16.6667
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.13% | 1 | 16.3333
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.13% | 1 | 17.6667
NeutralStart -> Age11-20 -> ReassertionProcessing -> ReassertionProcessing -> DestructiveRotation -> DestructiveRotation -> NeutralStart | 3 | 0.13% | 1 | 18.0000

4. Neutral Maturation Table
MaxNeutralAgeReached | Count | Probability | TopDestinationFamily
2 | 1051 | 45.09% | MixedStructure
6-10 | 586 | 25.14% | MixedStructure
3 | 276 | 11.84% | MixedStructure
5 | 166 | 7.12% | MixedStructure
11-20 | 141 | 6.05% | MixedStructure
4 | 100 | 4.29% | MixedStructure
21+ | 11 | 0.47% | MixedStructure

5. Failure Node Table
FailureNode | Count | Probability | TopDestinationFamily | TopReturnFamily
NeutralProcessing_Age2 | 1051 | 45.09% | MixedStructure | MixedStructure
NeutralProcessing_Age6-10 | 586 | 25.14% | MixedStructure | CompressionProcessing
NeutralProcessing_Age3 | 276 | 11.84% | MixedStructure | MixedStructure
NeutralProcessing_Age5 | 166 | 7.12% | MixedStructure | CompressionProcessing
NeutralProcessing_Age11-20 | 141 | 6.05% | MixedStructure | MixedStructure
NeutralProcessing_Age4 | 100 | 4.29% | MixedStructure | CompressionProcessing
NeutralProcessing_Age21+ | 11 | 0.47% | MixedStructure | CompressionProcessing

6. Destination In Loop Context Table
MaxNeutralAgeReached | FailureNode | DestinationFamily | Count | Probability
2 | NeutralProcessing_Age2 | MixedStructure | 428 | 40.72%
2 | NeutralProcessing_Age2 | ReassertionProcessing | 316 | 30.07%
2 | NeutralProcessing_Age2 | CompressionProcessing | 280 | 26.64%
6-10 | NeutralProcessing_Age6-10 | MixedStructure | 216 | 36.86%
6-10 | NeutralProcessing_Age6-10 | ReassertionProcessing | 213 | 36.35%
3 | NeutralProcessing_Age3 | MixedStructure | 113 | 40.94%
6-10 | NeutralProcessing_Age6-10 | CompressionProcessing | 99 | 16.89%
3 | NeutralProcessing_Age3 | ReassertionProcessing | 92 | 33.33%
3 | NeutralProcessing_Age3 | CompressionProcessing | 67 | 24.28%
5 | NeutralProcessing_Age5 | MixedStructure | 60 | 36.14%
11-20 | NeutralProcessing_Age11-20 | MixedStructure | 54 | 38.30%
5 | NeutralProcessing_Age5 | ReassertionProcessing | 42 | 25.30%
11-20 | NeutralProcessing_Age11-20 | ReassertionProcessing | 41 | 29.08%
5 | NeutralProcessing_Age5 | CompressionProcessing | 37 | 22.29%
6-10 | NeutralProcessing_Age6-10 | ExhaustionPersistence | 33 | 5.63%
11-20 | NeutralProcessing_Age11-20 | CompressionProcessing | 30 | 21.28%
4 | NeutralProcessing_Age4 | MixedStructure | 25 | 25.00%
2 | NeutralProcessing_Age2 | DestructiveRotation | 21 | 2.00%
4 | NeutralProcessing_Age4 | ReassertionProcessing | 19 | 19.00%
4 | NeutralProcessing_Age4 | ExhaustionPersistence | 19 | 19.00%
4 | NeutralProcessing_Age4 | CompressionProcessing | 18 | 18.00%
4 | NeutralProcessing_Age4 | RecoveryResolution | 18 | 18.00%
6-10 | NeutralProcessing_Age6-10 | RecoveryResolution | 16 | 2.73%
5 | NeutralProcessing_Age5 | ExhaustionPersistence | 15 | 9.04%
6-10 | NeutralProcessing_Age6-10 | ConstructiveEmergence | 9 | 1.54%
5 | NeutralProcessing_Age5 | RecoveryResolution | 9 | 5.42%
11-20 | NeutralProcessing_Age11-20 | ExhaustionPersistence | 7 | 4.96%
11-20 | NeutralProcessing_Age11-20 | RecoveryResolution | 7 | 4.96%
2 | NeutralProcessing_Age2 | ConstructiveEmergence | 6 | 0.57%
21+ | NeutralProcessing_Age21+ | MixedStructure | 4 | 36.36%
3 | NeutralProcessing_Age3 | ConstructiveEmergence | 4 | 1.45%
21+ | NeutralProcessing_Age21+ | CompressionProcessing | 4 | 36.36%
21+ | NeutralProcessing_Age21+ | ReassertionProcessing | 3 | 27.27%
5 | NeutralProcessing_Age5 | ConstructiveEmergence | 3 | 1.81%
11-20 | NeutralProcessing_Age11-20 | ConstructiveEmergence | 2 | 1.42%
4 | NeutralProcessing_Age4 | ConstructiveEmergence | 1 | 1.00%

7. Excursion Sequence Table
ExcursionSequence | Count | Probability | ReplicationCount | MeanReturnTime
MixedStructure | 504 | 21.62% | 3 | 1.0774
ReassertionProcessing | 495 | 21.24% | 3 | 1.1212
CompressionProcessing | 383 | 16.43% | 3 | 1.5849
ReassertionProcessing -> MixedStructure | 73 | 3.13% | 3 | 2.0000
MixedStructure -> DecayToNeutral | 57 | 2.45% | 3 | 2.2105
MixedStructure -> ExhaustionPersistence | 50 | 2.15% | 2 | 2.5200
ExhaustionPersistence | 47 | 2.02% | 3 | 1.5319
MixedStructure -> RecoveryResolution -> CompressionProcessing | 43 | 1.84% | 3 | 4.4419
MixedStructure -> RecoveryResolution | 38 | 1.63% | 3 | 2.0000
RecoveryResolution | 30 | 1.29% | 2 | 1.0000
ReassertionProcessing -> CompressionProcessing | 24 | 1.03% | 3 | 3.2083
CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 20 | 0.86% | 2 | 5.6500
MixedStructure -> CompressionProcessing | 19 | 0.82% | 2 | 3.9474
ReassertionProcessing -> DestructiveRotation | 17 | 0.73% | 3 | 3.0588
MixedStructure -> ExhaustionPersistence -> DecayToNeutral | 17 | 0.73% | 3 | 3.5294
