APVA Destination Robustness Study v0.1 - Aggregate
================================================================================================
Instrument: Aggregate
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv, .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv, .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 868

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
MixedStructure | VolumeRelativeToSessionMean | t-2 | 0.2241 | 2 | Positive | 8
MixedStructure | RangeRelativeToPrevious | t-1 | -0.2205 | 2 | Negative | 9
MixedStructure | VolumeRelativeToRollingMean | t-5 | 0.2101 | 1 | Positive | 10
MixedStructure | VolumeRelativeToRollingMean | t-1 | -0.2000 | 0 | Negative | 11
MixedStructure | TrueRangeRelativeToPrevious | t-1 | -0.1892 | 2 | Negative | 12
MixedStructure | VolumeRelativeToPrevious | t-3 | 0.1631 | 1 | Positive | 13
MixedStructure | CloseLocation | t-2 | 0.1630 | 1 | Positive | 14
MixedStructure | VolumeRelativeToSessionMean | t-1 | -0.1484 | 0 | Negative | 15
MixedStructure | VolumeRelativeToPrevious | t-5 | 0.1397 | 0 | Positive | 16
MixedStructure | RangeRelativeToPrevious | t-5 | 0.1237 | 1 | Positive | 17
MixedStructure | PolarityFlipFlag | t-1 | -0.1237 | 1 | Negative | 18
MixedStructure | BodyRelativeToPrevious | t-3 | 0.1235 | 1 | Positive | 19
MixedStructure | BodyRelativeToPrevious | t-2 | 0.1222 | 1 | Positive | 20
MixedStructure | TrueRangeRelativeToPrevious | t-5 | 0.1034 | 1 | Positive | 21
MixedStructure | EfficiencyRatio | t-2 | 0.1028 | 0 | Positive | 22
MixedStructure | VolumeRelativeToSessionMean | t-5 | 0.1022 | 0 | Positive | 23
MixedStructure | BranchEntropy | t-1 | -0.0930 | 0 | Negative | 24
MixedStructure | MemoryStrength | t-1 | 0.0904 | 0 | Positive | 25
MixedStructure | RangeRelativeToPrevious | t-2 | 0.0807 | 1 | Positive | 26
MixedStructure | VolumeRelativeToPrevious | t-2 | 0.0737 | 1 | Positive | 27
MixedStructure | TrueRangeRelativeToPrevious | t-2 | 0.0719 | 1 | Positive | 28
MixedStructure | BranchEntropy | t-2 | 0.0713 | 0 | Positive | 29
MixedStructure | BodyRelativeToPrevious | t-5 | 0.0709 | 1 | Positive | 30
MixedStructure | EfficiencyRatio | t-1 | -0.0699 | 1 | Negative | 31
MixedStructure | CloseLocation | t-1 | -0.0679 | 0 | Negative | 32
MixedStructure | CloseLocation | t-3 | 0.0660 | 0 | Positive | 33
MixedStructure | EfficiencyRatio | t-5 | -0.0638 | 0 | Negative | 34
MixedStructure | MemoryStrength | t-2 | -0.0628 | 0 | Negative | 35
MixedStructure | PolarityFlipFlag | t-3 | -0.0505 | 1 | Negative | 36
MixedStructure | PolarityFlipFlag | t-5 | 0.0413 | 1 | Positive | 37
MixedStructure | BranchEntropy | t-3 | 0.0338 | 0 | Positive | 38
MixedStructure | PolarityFlipFlag | t-2 | 0.0176 | 1 | Positive | 39
MixedStructure | MemoryStrength | t-5 | 0.0171 | 0 | Positive | 40
MixedStructure | MemoryStrength | t-3 | -0.0141 | 0 | Negative | 41
MixedStructure | CloseLocation | t-5 | -0.0120 | 0 | Negative | 42
MixedStructure | EfficiencyRatio | t-3 | 0.0069 | 0 | Positive | 43
MixedStructure | BranchEntropy | t-5 | 0.0008 | 0 | Positive | 44
ReassertionProcessing | VolumeRelativeToRollingMean | t-1 | -0.8190 | 3 | Negative | 1
ReassertionProcessing | TrueRangeRelativeToPrevious | t-1 | -0.5857 | 3 | Negative | 2
ReassertionProcessing | RangeRelativeToPrevious | t-1 | -0.5622 | 3 | Negative | 3
ReassertionProcessing | VolumeRelativeToRollingMean | t-2 | -0.5447 | 3 | Negative | 4
ReassertionProcessing | VolumeRelativeToRollingMean | t-3 | -0.5126 | 3 | Negative | 5
ReassertionProcessing | VolumeRelativeToSessionMean | t-1 | -0.5031 | 3 | Negative | 6
ReassertionProcessing | VolumeRelativeToRollingMean | t-5 | -0.3681 | 3 | Negative | 7
ReassertionProcessing | BodyRelativeToPrevious | t-1 | -0.3306 | 2 | Negative | 8
ReassertionProcessing | VolumeRelativeToSessionMean | t-2 | -0.2361 | 2 | Negative | 9
ReassertionProcessing | VolumeRelativeToSessionMean | t-3 | -0.2202 | 1 | Negative | 10
ReassertionProcessing | VolumeRelativeToPrevious | t-1 | -0.1754 | 2 | Negative | 11
ReassertionProcessing | CloseLocation | t-2 | -0.1698 | 0 | Negative | 12
ReassertionProcessing | VolumeRelativeToPrevious | t-5 | -0.1536 | 1 | Negative | 13
ReassertionProcessing | RangeRelativeToPrevious | t-3 | -0.1435 | 1 | Negative | 14
ReassertionProcessing | EfficiencyRatio | t-2 | 0.1389 | 1 | Positive | 15
ReassertionProcessing | BranchEntropy | t-5 | -0.1368 | 0 | Negative | 16
ReassertionProcessing | TrueRangeRelativeToPrevious | t-3 | -0.1354 | 1 | Negative | 17
ReassertionProcessing | VolumeRelativeToSessionMean | t-5 | -0.1271 | 2 | Negative | 18
ReassertionProcessing | BranchEntropy | t-1 | 0.1210 | 0 | Positive | 19
ReassertionProcessing | MemoryStrength | t-5 | 0.1151 | 1 | Positive | 20
ReassertionProcessing | MemoryStrength | t-1 | -0.1141 | 0 | Negative | 21
