DataScope,Analysis,ValidationMode,Regime,Instrument,Field,Count,PearsonCorrelation,SpearmanCorrelation
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,SpyderDominantVolume,36,0.1569084204286451,0.010448269122382071
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,SpyderNonDominantVolume,36,0.08016193615997781,-0.059206858360165066
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,SpyderDominantVolumeShare,36,0.1298732645072948,0.07791054999899717
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,SpyderNonDominantVolumeShare,36,-0.1298732645072948,-0.07791054999899717
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,Volume,56,-0.05389980381595506,0.03420516290604031
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,VolumeSMA,56,0.035027426857070366,0.001953601488621541
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,RelativeVolume,56,-0.0344841023592784,0.06056164614726776
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,VolumeZScore,56,0.11607430521957858,0.22853710045839357
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,SignedVolume,56,0.19391698315980557,0.20824970083707764
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,UpVolume,56,0.18369420645277704,0.1795843643809754
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,DownVolume,56,-0.1495057024147701,-0.14767696638853942
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,FlatVolume,56,-0.10179743997399639,-0.011085665097822418
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,UpDownVolumeDelta,56,0.19391698315980557,0.20824970083707764
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,SpyderDominantVolume,56,-0.05331864012176766,-0.00538097252129091
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,SpyderNonDominantVolume,56,-0.039229360777519706,0.01785660308020742
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,SpyderDominantVolumeShare,56,-0.016835836502850844,-0.04142600919648066
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,ES,SpyderNonDominantVolumeShare,56,0.016835836502850768,0.04142600919648066
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2023 | 2023 observed regime,NQ,Volume,61,-0.15150618370250382,-0.14666878472308228
