Instrument,HorizonBars,ResolvedArchetype,DominantPressure,WalkForwardSplitMode,Count_Train,MeanSignedReturn_Train,MedianSignedReturn_Train,StdSignedReturn_Train,DirectionalHitRate_Train,MeanDirectionalMFE_Train,MeanDirectionalMAE_Train,Count_Validation,MeanSignedReturn_Validation,MedianSignedReturn_Validation,StdSignedReturn_Validation,DirectionalHitRate_Validation,MeanDirectionalMFE_Validation,MeanDirectionalMAE_Validation,Supported,ReturnSignAgreement,HitRateDelta,ReturnDelta,ValidationRetainsPositiveEdge,ValidationFlipsNegative,TrainTStat,ValidationTStat,GeneralizationClass
6E,10,Directional Continuation / Sponsor Release,RotationalPressure,BarIndexFallback,76,0.6634743654373844,0.6515151515150558,2.2133276463338993,0.631578947368421,2.1562760828719036,-1.3570892169552924,59,0.6476102314725313,0.2372881355926666,3.0537172269284225,0.5423728813559322,2.323255599338214,-1.7923612669628235,True,True,-0.08920606601248882,-0.01586413396485309,True,False,2.6132757301989153,1.6289617558187994,WeakPositive
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,BarIndexFallback,1521,0.014213081737412005,0.0,2.5335953362715813,0.4816031537450723,1.8994382249066728,-1.8416351919015996,1012,0.13830184424537123,0.19178082191798906,2.5251551575751257,0.5227272727272727,1.8872372165848945,-1.6734455725526038,True,True,0.04112411898220042,0.12408876250795922,True,False,0.21878402593477564,1.742328976084018,WeakPositive
6E,10,Pure Unresolved Compression Equilibrium,RotationalPressure,BarIndexFallback,52,0.9026978186194418,0.5439882697946515,2.4227795673884653,0.5769230769230769,2.3552492683008563,-1.3800847712859965,61,-0.2125689781551358,-0.1538461538464917,2.2605747889954815,0.45901639344262296,1.4420925596100445,-1.8729679116061109,True,False,-0.11790668348045391,-1.1152667967745775,False,True,2.686767971045903,-0.7344224136383026,FailedPositive
6E,10,Sponsor Exhaustion Collapse,CompressionPressure,BarIndexFallback,79,0.10381057382335716,0.249999999999425,2.2384656212860743,0.5569620253164557,1.984511959981676,-1.6914680008876333,58,-0.15972304647096922,-0.2968814968816642,2.5115671496549035,0.43103448275862066,1.68076187596949,-1.9231771200395662,True,False,-0.125927542557835,-0.26353362029432637,False,True,0.4121968878775878,-0.4843248892897,FailedPositive
6E,10,Sponsor Exhaustion Collapse,RotationalPressure,BarIndexFallback,405,-0.4540898612388771,-0.1818181818185907,3.0256628800014367,0.4583333333333333,1.6255577398252588,-2.2881281167045975,285,-0.4314717660758933,-0.0,3.459534702501888,0.4666666666666667,1.8849485345940042,-2.1858772574608047,True,True,0.00833333333333336,0.022618095162983798,False,False,-3.02029093823164,-2.105509091351574,ConfirmedNegative
6E,10,Stable Compression Basin,CompressionPressure,BarIndexFallback,740,-0.33246120790891276,-0.17397344859541541,3.048306158944258,0.4375838926174497,1.7961155619700078,-2.1320149905308896,498,-0.12511770694739793,0.0,2.88658376804491,0.463855421686747,1.8247136402405737,-1.958889182496204,True,True,0.026271529069297306,0.20734350096151483,False,False,-2.9668682073835813,-0.9672734841547849,NegativeButWeak
6E,10,Stable Compression Basin,RotationalPressure,BarIndexFallback,197,-0.06306343387107462,0.0,2.32601911432901,0.4619289340101523,1.717987401077729,-1.9618902570876047,138,-0.02819677793470395,0.0,3.2358188160100148,0.4855072463768116,1.8585372095209023,-1.9227103430941004,True,True,0.023578312366659304,0.03486665593637067,False,False,-0.380537489462295,-0.10236578734701117,NegativeButWeak
6E,10,Unstable Rotational Balance,RotationalPressure,BarIndexFallback,254,-0.35493338793301854,-0.19210526315829957,2.5412301642082697,0.42913385826771655,1.5964995290946866,-2.059815331182824,161,-0.542829334418118,-0.4069767441861747,2.2095136633930896,0.37267080745341613,1.4090291905095471,-2.109256272063599,True,True,-0.05646305081430042,-0.18789594648509944,False,False,-2.2259720716950104,-3.1173068603783114,ConfirmedNegative
6E,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,BarIndexFallback,109,-0.6695930969550149,-1.1666666666665586,3.2989509252924476,0.45614035087719296,2.2349440600824284,-2.936016721589645,32,2.495597348377598,1.829100495081279,4.82633154558747,0.65625,4.240852532312673,-1.8762488708393597,True,False,0.20010964912280704,3.165190445332613,False,False,-2.119084923290059,2.925043655175031,FailedNegative
6E,20,Directional Continuation / Sponsor Release,RotationalPressure,BarIndexFallback,76,0.3549594714733877,0.19356955380593643,3.540680432777289,0.5263157894736842,3.1305729055892617,-2.0864180883642773,59,0.2115260267781682,-0.0,3.359926387162048,0.4576271186440678,3.296946561136972,-2.730493382205254,True,True,-0.06868867082961638,-0.1434334446952195,True,False,0.8739746467271351,0.4835707851692009,PositiveButWeak
