Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop
Unresolved->Degrading->Degrading->Balance,1,Unstable Rotational Balance,ImmediateFailure,1,25.0,Degrading->Balance,1.0,100.0,0.0,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1
Unresolved->Degrading->Degrading->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,1,25.0,Degrading->Unresolved,5.53,29.41,0.0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1
Balance->Balance->Balance->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,1,20.0,Balance->Degrading,1.5,50.0,0.0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0
Balance->Balance->Balance->Unresolved,1,Unstable Rotational Balance,PersistentNonDirectional,1,20.0,Balance->Unresolved,7.26,21.05,0.0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0
Directional->Directional->Degrading->Directional,3,Directional Continuation / Sponsor Release,ImmediateFailure,1,16.67,Degrading->Directional,1.67,66.67,33.33,0,3,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0
Balance->Balance->Unresolved->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,1,16.67,Unresolved->Degrading,1.82,63.64,0.0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,1,1
Degrading->Degrading->Unresolved->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,1,16.67,Unresolved->Degrading,1.82,63.64,0.0,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1
Unresolved->Degrading->Unresolved->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,1,16.67,Unresolved->Degrading,1.82,63.64,0.0,2,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1
Directional->Directional->Degrading->Balance,1,Unstable Rotational Balance,ImmediateFailure,1,16.67,Degrading->Balance,1.0,100.0,0.0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0
Degrading->Degrading->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,1,16.67,Unresolved->Balance,1.63,63.16,0.0,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,1,1
Unresolved->Unresolved->Degrading->Directional,3,Directional Continuation / Sponsor Release,ImmediateFailure,1,14.29,Degrading->Directional,1.67,66.67,33.33,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1
Directional->Directional->Directional->Unresolved,2,Stable Compression Basin,Mixed,1,8.33,Directional->Unresolved,2.0,0.0,0.0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Degrading->Degrading->Degrading->Directional,3,Directional Continuation / Sponsor Release,ImmediateFailure,1,7.14,Degrading->Directional,1.67,66.67,33.33,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Degrading->Degrading->Degrading->Balance,1,Unstable Rotational Balance,ImmediateFailure,1,7.14,Degrading->Balance,1.0,100.0,0.0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Unresolved->Unresolved->Unresolved->Unknown,2,Stable Compression Basin,Mixed,1,0.48,Unresolved->Unknown,3.0,0.0,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
