Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,BaselineFutureDirectionalProbability,DirectionalLift,DirectionalEdge,ForecastQuality
6E,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,158,0.1139240506329113,0.5530961984551518,0.2181126933895921,0.35911885378233,0.2287204393286518,0.048208684167079414,2.363143748916246,0.0657153664658319,StrongPositiveLift
6E,10,Unstable Rotational Balance,CompressionPressure,23,0.0869565217391304,0.2306603707830584,0.0114734299516907,0.4684184038335526,0.3691708522830488,0.048208684167079414,1.8037522334723042,0.03874783757205099,Unsupported
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,2641,0.0692919348731541,0.1764159836928135,0.0225451217972989,0.8049052965196303,0.2320710179051361,0.048208684167079414,1.437333046324296,0.02108325070607469,Neutral
6E,10,Unstable Rotational Balance,RotationalPressure,433,0.0415704387990762,0.0674572515455322,0.0611496022581472,0.1300857179931958,0.7513236719096239,0.048208684167079414,0.8623018760479608,-0.006638245368003212,Neutral
6E,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,30,0.0333333333333333,0.3897818706796255,0.1305555555555554,0.3237792395284377,0.3098282172060235,0.048208684167079414,0.6914383561643828,-0.014875350833746116,Unsupported
6E,10,Stable Compression Basin,CompressionPressure,1299,0.0323325635103926,0.0919421821587574,0.0512039175434094,0.6334788245710742,0.443032821554059,0.048208684167079414,0.6706792369261916,-0.015876120656686817,Neutral
6E,10,Stable Compression Basin,RotationalPressure,344,0.0319767441860465,0.0449663027855593,0.0802487080103358,0.51932583639012,0.5804781126862599,0.048208684167079414,0.66329842306467,-0.016231939981032915,Neutral
6E,10,Directional Continuation / Sponsor Release,RotationalPressure,137,0.0291970802919708,0.2318150706290807,0.2532238442822384,0.1325780285217602,0.4901739804658098,0.048208684167079414,0.6056394360563943,-0.019011603875108616,Neutral
6E,10,Pure Unresolved Compression Equilibrium,RotationalPressure,120,0.0166666666666666,0.038373587693417,0.0746527777777777,0.51979561580415,0.5702986780188083,0.048208684167079414,0.3457191780821904,-0.031542017500412814,StrongNegativeLift
6E,10,Sponsor Exhaustion Collapse,RotationalPressure,731,0.0136798905608755,0.0880987359130638,0.1552139654311336,0.1430851736766634,0.4811230165245875,0.048208684167079414,0.2837640312576127,-0.034528793606203916,StrongNegativeLift
6E,10,Sponsor Exhaustion Collapse,CompressionPressure,139,0.0071942446043165,0.1982777187951547,0.1157873701039168,0.4012427127442461,0.1889158930849865,0.048208684167079414,0.14923129989159262,-0.04101443956276291,StrongNegativeLift
6E,10,Directional Continuation / Sponsor Release,CompressionPressure,2,0.0,0.2747519510494643,0.2138888888888889,0.294871143402319,0.2540621092029942,0.048208684167079414,0.0,-0.048208684167079414,Unsupported
6E,20,Unstable Rotational Balance,CompressionPressure,23,0.1739130434782608,0.2306603707830584,0.0114734299516907,0.4684184038335526,0.3691708522830488,0.04828840747478085,3.6015485407980954,0.12562463600347995,Unsupported
