Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,BaselineFutureDirectionalProbability,DirectionalLift,DirectionalEdge,ForecastQuality,ObservedSuccesses,ExpectedSuccesses,ZScore,PValue,WilsonCILow,WilsonCIHigh,SignificanceClass
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,137,0.0802919708029197,0.2318150706290807,0.2532238442822384,0.1325780285217602,0.4901739804658098,0.0484988452655888,1.6555439694125842,0.0317931255373308,ModeratePositiveLift,11,6.644341801385665,1.7323001757247154,0.08322013071134471,0.04542299711733818,0.1380568838269283,WeakEvidence
NQ,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,367,0.0762942779291553,0.5630372549423475,0.2165758401453224,0.3628537252345985,0.2223371206253175,0.0623344876756976,1.2239497070399463,0.0139597902534576,Neutral,28,22.87675697698102,1.1061747900305914,0.26865087225109585,0.05330998193669069,0.10805702758974862,WeakEvidence
ES,20,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.0774147727272727,0.1935709720787437,0.0186631944444444,0.8360563854863585,0.1941220557851186,0.0671999999999999,1.1520055465367969,0.0102147727272727,Neutral,109,94.61759999999985,1.5309151837582538,0.1257903560940088,0.06457678311963436,0.09255245857433472,WeakEvidence
NQ,20,Unstable Rotational Balance,RotationalPressure,1145,0.0532751091703056,0.0799073803199555,0.058791848617176,0.1522296787133661,0.7251146106749796,0.0623344876756976,0.8546650683563082,-0.009059378505392,Neutral,61,71.37298838867376,-1.267981682900182,0.20480449191236594,0.04169654068499622,0.06784127549436218,WeakEvidence
6E,20,Stable Compression Basin,CompressionPressure,1297,0.0400925212027756,0.0919386877082183,0.0512186241754475,0.6335175994226357,0.4429835275240729,0.0482884074747808,0.8302721770999459,-0.0081958862720052,Neutral,52,62.6300644947907,-1.37686636345007,0.16855356838985625,0.030703725436508046,0.0521976823905479,WeakEvidence
6E,5,Unstable Rotational Balance,RotationalPressure,433,0.0346420323325635,0.0674572515455322,0.0611496022581472,0.1300857179931958,0.7513236719096239,0.0484988452655888,0.714285714285715,-0.0138568129330253,Neutral,15,20.99999999999995,-1.3422609116942905,0.1795114126339694,0.021103828166971893,0.05636498432707628,WeakEvidence
NQ,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,367,0.0435967302452316,0.5630372549423475,0.2165758401453224,0.3628537252345985,0.2223371206253175,0.0622710622710622,0.7001121974675434,-0.0186743320258306,Neutral,16,22.85347985347983,-1.4804587529850122,0.13875086053497387,0.027010625351477083,0.0696387257461344,WeakEvidence
6E,10,Stable Compression Basin,RotationalPressure,344,0.0319767441860465,0.0449663027855593,0.0802487080103358,0.51932583639012,0.5804781126862599,0.0482086841670794,0.66329842306467,-0.0162319399810329,Neutral,11,16.583787353475312,-1.4054524004302202,0.1598867941670168,0.017947221963115344,0.05634406464550192,WeakEvidence
6E,10,Directional Continuation / Sponsor Release,RotationalPressure,137,0.0291970802919708,0.2318150706290807,0.2532238442822384,0.1325780285217602,0.4901739804658098,0.0482086841670794,0.6056394360563943,-0.0190116038751086,Neutral,4,6.604589730889878,-1.0388325104155751,0.29888263863237197,0.011411340550450556,0.07266609111746575,WeakEvidence
ES,10,Stable Compression Basin,RotationalPressure,181,0.0386740331491712,0.0467584068148836,0.0797421731123388,0.5172649533336109,0.5793977093728775,0.0673046251993619,0.5746118195386342,-0.0286305920501907,ModerateNegativeLift,7,12.182137161084503,-1.537365920635473,0.12420372692533466,0.018857584065879004,0.07766614219487614,WeakEvidence
