APVA Excursion Destinations Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Destination event count: 64

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
ConstructiveEmergence | RangeRelativeToPrevious | t-5 | 1.1200 | 1.1200 | 0.0000
ConstructiveEmergence | BodyRelativeToPrevious | t-1 | 24.5000 | 24.5000 | 0.0000
ConstructiveEmergence | BodyRelativeToPrevious | t-2 | 0.0476 | 0.0476 | 0.0000
ConstructiveEmergence | BodyRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
ConstructiveEmergence | BodyRelativeToPrevious | t-5 | 2.0000 | 2.0000 | 0.0000
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-1 | 2.3143 | 2.3143 | 0.0000
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-2 | 0.8140 | 0.8140 | 0.0000
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-5 | 1.1200 | 1.1200 | 0.0000
ConstructiveEmergence | VolumeRelativeToPrevious | t-1 | 1.4743 | 1.4743 | 0.0000
ConstructiveEmergence | VolumeRelativeToPrevious | t-2 | 0.9931 | 0.9931 | 0.0000
ConstructiveEmergence | VolumeRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
ConstructiveEmergence | VolumeRelativeToPrevious | t-5 | 1.2352 | 1.2352 | 0.0000
ConstructiveEmergence | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0.0000 | 0.0000
ConstructiveEmergence | VolumeRelativeToRollingMean | t-2 | 0.0000 | 0.0000 | 0.0000
ConstructiveEmergence | VolumeRelativeToRollingMean | t-3 | 0.0000 | 0.0000 | 0.0000
ConstructiveEmergence | VolumeRelativeToRollingMean | t-5 | 0.6401 | 0.6401 | 0.0000
ConstructiveEmergence | VolumeRelativeToSessionMean | t-1 | 1.2705 | 1.2705 | 0.0000
ConstructiveEmergence | VolumeRelativeToSessionMean | t-2 | 0.9966 | 0.9966 | 0.0000
ConstructiveEmergence | VolumeRelativeToSessionMean | t-3 | 1.0000 | 1.0000 | 0.0000
ConstructiveEmergence | VolumeRelativeToSessionMean | t-5 | 1.1932 | 1.1932 | 0.0000
ConstructiveEmergence | EfficiencyRatio | t-1 | 0.6049 | 0.6049 | 0.0000
ConstructiveEmergence | EfficiencyRatio | t-2 | 0.0571 | 0.0571 | 0.0000
ConstructiveEmergence | EfficiencyRatio | t-3 | 0.9767 | 0.9767 | 0.0000
ConstructiveEmergence | EfficiencyRatio | t-5 | 0.3214 | 0.3214 | 0.0000
ConstructiveEmergence | CloseLocation | t-1 | 0.3827 | 0.3827 | 0.0000
ConstructiveEmergence | CloseLocation | t-2 | 0.6000 | 0.6000 | 0.0000
ConstructiveEmergence | CloseLocation | t-3 | 0.0233 | 0.0233 | 0.0000
ConstructiveEmergence | CloseLocation | t-5 | 0.6607 | 0.6607 | 0.0000
ConstructiveEmergence | MemoryStrength | t-1 | 0.2169 | 0.2169 | 0.0000
ConstructiveEmergence | MemoryStrength | t-2 | 0.2169 | 0.2169 | 0.0000
ConstructiveEmergence | MemoryStrength | t-3 | 0.3357 | 0.3357 | 0.0000
ConstructiveEmergence | MemoryStrength | t-5 | 0.3509 | 0.3509 | 0.0000
ConstructiveEmergence | BranchEntropy | t-1 | 1.1917 | 1.1917 | 0.0000
ConstructiveEmergence | BranchEntropy | t-2 | 1.1917 | 1.1917 | 0.0000
ConstructiveEmergence | BranchEntropy | t-3 | 0.7551 | 0.7551 | 0.0000
ConstructiveEmergence | BranchEntropy | t-5 | 0.7992 | 0.7992 | 0.0000
ConstructiveEmergence | PolarityFlipFlag | t-1 | 1.0000 | 1.0000 | 0.0000
ConstructiveEmergence | PolarityFlipFlag | t-2 | 1.0000 | 1.0000 | 0.0000
ConstructiveEmergence | PolarityFlipFlag | t-3 | 1.0000 | 1.0000 | 0.0000
ConstructiveEmergence | PolarityFlipFlag | t-5 | 1.0000 | 1.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-5 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-5 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-5 | 0.0000 | 0.0000 | 0.0000
