APVA Phase Transition Matrix Study v0.1 - CL
=============================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Structural state counts: {'MixedStructure': 314, 'NeutralProcessing': 1278, 'ReassertionProcessing': 207, 'CompressionProcessing': 350, 'DecayToNeutral': 103, 'ExhaustionPersistence': 176, 'DestructiveRotation': 84, 'RecoveryResolution': 160, 'ConstructiveEmergence': 12}
Lifecycle phase counts: {'Terminal': 542, 'Maturity': 256, 'Insufficient': 79, 'Birth': 988, 'Growth': 516, 'Decay': 303}
Valid phase observations: 2605

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth                988     36.81%
Growth               516     19.23%
Maturity             256      9.54%
Decay                303     11.29%
Terminal             542     20.19%
Insufficient          79      2.94%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
ExhaustionPersistence        Maturity        5 NeutralProcessing                    5       23.81%     0.499
ExhaustionPersistence        Maturity        5 DecayToNeutral                       2        9.52%     2.477
ExhaustionPersistence        Maturity        5 DestructiveRotation                  1        4.76%     1.519
ExhaustionPersistence        Maturity        5 MixedStructure                       4       19.05%     1.646
ExhaustionPersistence        Insufficient    5 RecoveryResolution                   3       11.11%     1.860
ExhaustionPersistence        Insufficient    5 ExhaustionPersistence                3       11.11%     1.691
ExhaustionPersistence        Insufficient    5 CompressionProcessing                3       11.11%     0.850
ExhaustionPersistence        Insufficient    5 NeutralProcessing                   12       44.44%     0.932
ExhaustionPersistence        Insufficient    5 DecayToNeutral                       1        3.70%     0.963
ExhaustionPersistence        Insufficient    5 MixedStructure                       5       18.52%     1.600
CompressionProcessing        Birth           5 RecoveryResolution                  12        6.82%     1.142
CompressionProcessing        Birth           5 ExhaustionPersistence               21       11.93%     1.816
CompressionProcessing        Birth           5 CompressionProcessing               31       17.61%     1.348
CompressionProcessing        Birth           5 NeutralProcessing                   70       39.77%     0.834
CompressionProcessing        Birth           5 ReassertionProcessing               10        5.68%     0.735
CompressionProcessing        Birth           5 DecayToNeutral                       6        3.41%     0.887
CompressionProcessing        Birth           5 DestructiveRotation                  9        5.11%     1.631
CompressionProcessing        Birth           5 ConstructiveEmergence                1        0.57%     1.268
CompressionProcessing        Birth           5 MixedStructure                      16        9.09%     0.786
CompressionProcessing        Growth          5 RecoveryResolution                   9        9.78%     1.638
CompressionProcessing        Growth          5 ExhaustionPersistence                9        9.78%     1.489
CompressionProcessing        Growth          5 CompressionProcessing               11       11.96%     0.915
CompressionProcessing        Growth          5 NeutralProcessing                   45       48.91%     1.026
CompressionProcessing        Growth          5 ReassertionProcessing                6        6.52%     0.844
CompressionProcessing        Growth          5 DecayToNeutral                       3        3.26%     0.848
CompressionProcessing        Growth          5 DestructiveRotation                  2        2.17%     0.693
CompressionProcessing        Growth          5 MixedStructure                       7        7.61%     0.658
CompressionProcessing        Maturity        5 RecoveryResolution                   7       11.11%     1.860
CompressionProcessing        Maturity        5 ExhaustionPersistence                6        9.52%     1.450
CompressionProcessing        Maturity        5 CompressionProcessing                8       12.70%     0.972
CompressionProcessing        Maturity        5 NeutralProcessing                   28       44.44%     0.932
CompressionProcessing        Maturity        5 ReassertionProcessing                2        3.17%     0.411
CompressionProcessing        Maturity        5 DecayToNeutral                       3        4.76%     1.239
CompressionProcessing        Maturity        5 DestructiveRotation                  2        3.17%     1.012
CompressionProcessing        Maturity        5 MixedStructure                       7       11.11%     0.960
CompressionProcessing        Insufficient    5 RecoveryResolution                   1        5.56%     0.930
CompressionProcessing        Insufficient    5 ExhaustionPersistence                1        5.56%     0.846
CompressionProcessing        Insufficient    5 CompressionProcessing                3       16.67%     1.276
CompressionProcessing        Insufficient    5 NeutralProcessing                    7       38.89%     0.816
CompressionProcessing        Insufficient    5 ReassertionProcessing                2       11.11%     1.438
CompressionProcessing        Insufficient    5 DestructiveRotation                  1        5.56%     1.772
CompressionProcessing        Insufficient    5 MixedStructure                       3       16.67%     1.440
NeutralProcessing            Birth           5 RecoveryResolution                  30        6.76%     1.131
NeutralProcessing            Birth           5 ExhaustionPersistence               25        5.63%     0.857
NeutralProcessing            Birth           5 CompressionProcessing               52       11.71%     0.896
NeutralProcessing            Birth           5 NeutralProcessing                  220       49.55%     1.039
NeutralProcessing            Birth           5 ReassertionProcessing               36        8.11%     1.049
NeutralProcessing            Birth           5 DecayToNeutral                      10        2.25%     0.586
NeutralProcessing            Birth           5 DestructiveRotation                 10        2.25%     0.718
NeutralProcessing            Birth           5 ConstructiveEmergence                1        0.23%     0.503
NeutralProcessing            Birth           5 MixedStructure                      60       13.51%     1.168
NeutralProcessing            Growth          5 RecoveryResolution                  16        4.09%     0.685
NeutralProcessing            Growth          5 ExhaustionPersistence               17        4.35%     0.662
NeutralProcessing            Growth          5 CompressionProcessing               47       12.02%     0.920
NeutralProcessing            Growth          5 NeutralProcessing                  188       48.08%     1.009
NeutralProcessing            Growth          5 ReassertionProcessing               45       11.51%     1.489
NeutralProcessing            Growth          5 DecayToNeutral                      14        3.58%     0.931
NeutralProcessing            Growth          5 DestructiveRotation                 15        3.84%     1.224
NeutralProcessing            Growth          5 ConstructiveEmergence                2        0.51%     1.142
NeutralProcessing            Growth          5 MixedStructure                      47       12.02%     1.039
NeutralProcessing            Maturity        5 RecoveryResolution                   5        4.72%     0.790
NeutralProcessing            Maturity        5 ExhaustionPersistence                4        3.77%     0.574
NeutralProcessing            Maturity        5 CompressionProcessing               12       11.32%     0.867
NeutralProcessing            Maturity        5 NeutralProcessing                   44       41.51%     0.871
NeutralProcessing            Maturity        5 ReassertionProcessing               18       16.98%     2.198
NeutralProcessing            Maturity        5 DecayToNeutral                       7        6.60%     1.718
NeutralProcessing            Maturity        5 DestructiveRotation                  4        3.77%     1.204
NeutralProcessing            Maturity        5 MixedStructure                      12       11.32%     0.978
NeutralProcessing            Decay           5 RecoveryResolution                  12        3.96%     0.663
NeutralProcessing            Decay           5 ExhaustionPersistence               14        4.62%     0.703
NeutralProcessing            Decay           5 CompressionProcessing               27        8.91%     0.682
NeutralProcessing            Decay           5 NeutralProcessing                  145       47.85%     1.004
NeutralProcessing            Decay           5 ReassertionProcessing               31       10.23%     1.324
NeutralProcessing            Decay           5 DecayToNeutral                      17        5.61%     1.459
NeutralProcessing            Decay           5 DestructiveRotation                 14        4.62%     1.474
NeutralProcessing            Decay           5 ConstructiveEmergence                2        0.66%     1.474
NeutralProcessing            Decay           5 MixedStructure                      41       13.53%     1.169
NeutralProcessing            Terminal        5 RecoveryResolution                   3       10.00%     1.674
NeutralProcessing            Terminal        5 ExhaustionPersistence                7       23.33%     3.552
NeutralProcessing            Terminal        5 CompressionProcessing                2        6.67%     0.510
NeutralProcessing            Terminal        5 NeutralProcessing                   13       43.33%     0.909
NeutralProcessing            Terminal        5 ReassertionProcessing                2        6.67%     0.863
NeutralProcessing            Terminal        5 DecayToNeutral                       1        3.33%     0.867
NeutralProcessing            Terminal        5 MixedStructure                       2        6.67%     0.576
ReassertionProcessing        Terminal        5 RecoveryResolution                   8        3.88%     0.650
ReassertionProcessing        Terminal        5 ExhaustionPersistence                8        3.88%     0.591
ReassertionProcessing        Terminal        5 CompressionProcessing               19        9.22%     0.706
ReassertionProcessing        Terminal        5 NeutralProcessing                  113       54.85%     1.151
ReassertionProcessing        Terminal        5 ReassertionProcessing               14        6.80%     0.880
ReassertionProcessing        Terminal        5 DecayToNeutral                      10        4.85%     1.263
ReassertionProcessing        Terminal        5 DestructiveRotation                  8        3.88%     1.239
ReassertionProcessing        Terminal        5 ConstructiveEmergence                2        0.97%     2.167
ReassertionProcessing        Terminal        5 MixedStructure                      24       11.65%     1.007
ReassertionProcessing        Insufficient    5 RecoveryResolution                   1      100.00%    16.744
DecayToNeutral               Birth           5 RecoveryResolution                   6        5.83%     0.975
DecayToNeutral               Birth           5 ExhaustionPersistence               11       10.68%     1.626
DecayToNeutral               Birth           5 CompressionProcessing                8        7.77%     0.595
DecayToNeutral               Birth           5 NeutralProcessing                   49       47.57%     0.998
DecayToNeutral               Birth           5 ReassertionProcessing                6        5.83%     0.754
DecayToNeutral               Birth           5 DecayToNeutral                       5        4.85%     1.263
DecayToNeutral               Birth           5 DestructiveRotation                  2        1.94%     0.619
DecayToNeutral               Birth           5 MixedStructure                      16       15.53%     1.342
DestructiveRotation          Birth           5 RecoveryResolution                  10       14.08%     2.358
DestructiveRotation          Birth           5 ExhaustionPersistence                4        5.63%     0.858
DestructiveRotation          Birth           5 CompressionProcessing                8       11.27%     0.862
DestructiveRotation          Birth           5 NeutralProcessing                   29       40.85%     0.857
DestructiveRotation          Birth           5 ReassertionProcessing                4        5.63%     0.729
DestructiveRotation          Birth           5 DecayToNeutral                       1        1.41%     0.366
DestructiveRotation          Birth           5 DestructiveRotation                  4        5.63%     1.797
DestructiveRotation          Birth           5 ConstructiveEmergence                1        1.41%     3.144
DestructiveRotation          Birth           5 MixedStructure                      10       14.08%     1.217
DestructiveRotation          Insufficient    5 RecoveryResolution                   2       15.38%     2.576
DestructiveRotation          Insufficient    5 ExhaustionPersistence                3       23.08%     3.513
DestructiveRotation          Insufficient    5 CompressionProcessing                2       15.38%     1.178
DestructiveRotation          Insufficient    5 NeutralProcessing                    5       38.46%     0.807
DestructiveRotation          Insufficient    5 MixedStructure                       1        7.69%     0.665
ConstructiveEmergence        Insufficient    5 NeutralProcessing                    8       66.67%     1.399
ConstructiveEmergence        Insufficient    5 ReassertionProcessing                1        8.33%     1.079
ConstructiveEmergence        Insufficient    5 DestructiveRotation                  1        8.33%     2.658
ConstructiveEmergence        Insufficient    5 ConstructiveEmergence                1        8.33%    18.604
ConstructiveEmergence        Insufficient    5 MixedStructure                       1        8.33%     0.720
MixedStructure               Maturity        5 RecoveryResolution                   2        7.14%     1.196
MixedStructure               Maturity        5 CompressionProcessing                5       17.86%     1.367
MixedStructure               Maturity        5 NeutralProcessing                   14       50.00%     1.049
MixedStructure               Maturity        5 ReassertionProcessing                3       10.71%     1.387
MixedStructure               Maturity        5 DecayToNeutral                       1        3.57%     0.929
MixedStructure               Maturity        5 ConstructiveEmergence                1        3.57%     7.973
MixedStructure               Maturity        5 MixedStructure                       2        7.14%     0.617
MixedStructure               Terminal        5 RecoveryResolution                  14        5.02%     0.840
MixedStructure               Terminal        5 ExhaustionPersistence               17        6.09%     0.927
MixedStructure               Terminal        5 CompressionProcessing               43       15.41%     1.180
MixedStructure               Terminal        5 NeutralProcessing                  147       52.69%     1.105
MixedStructure               Terminal        5 ReassertionProcessing               16        5.73%     0.742
MixedStructure               Terminal        5 DecayToNeutral                       9        3.23%     0.839
MixedStructure               Terminal        5 DestructiveRotation                  6        2.15%     0.686
MixedStructure               Terminal        5 MixedStructure                      27        9.68%     0.836
MixedStructure               Insufficient    5 NeutralProcessing                    5       71.43%     1.498
MixedStructure               Insufficient    5 ReassertionProcessing                1       14.29%     1.849
MixedStructure               Insufficient    5 DecayToNeutral                       1       14.29%     3.716

Section 5 - Entropy Analysis
============================
Phase           H     Count    Entropy  NormEntropy DominantDestination          DominantProb DominantLift
Birth           1       987     1.7246       0.7849 NeutralProcessing                  42.35%        0.889
Birth           2       986     1.8322       0.8339 NeutralProcessing                  37.02%        0.777
Birth           3       986     1.6681       0.7592 NeutralProcessing                  46.55%        0.977
Birth           5       985     1.6956       0.7717 NeutralProcessing                  45.28%        0.950
Growth          1       516     1.4186       0.6822 NeutralProcessing                  54.26%        1.139
Growth          2       516     1.2217       0.5875 NeutralProcessing                  65.12%        1.367
Growth          3       515     1.3156       0.5988 NeutralProcessing                  63.11%        1.324
Growth          5       514     1.6564       0.7539 NeutralProcessing                  48.05%        1.008
Maturity        1       256     1.4819       0.7126 NeutralProcessing                  51.95%        1.091
Maturity        2       256     1.5901       0.7237 NeutralProcessing                  47.66%        1.000
Maturity        3       256     1.6621       0.7993 NeutralProcessing                  44.53%        0.934
Maturity        5       256     1.7353       0.7898 NeutralProcessing                  43.75%        0.918
Decay           1       303     0.9384       0.4823 NeutralProcessing                  72.28%        1.517
Decay           2       303     1.3252       0.6373 NeutralProcessing                  59.74%        1.254
Decay           3       303     1.5964       0.7266 NeutralProcessing                  50.50%        1.059
Decay           5       303     1.6788       0.7641 NeutralProcessing                  47.85%        1.004
Terminal        1       542     1.8268       0.8314 NeutralProcessing                  38.56%        0.810
Terminal        2       542     1.7172       0.7815 NeutralProcessing                  45.39%        0.952
Terminal        3       542     1.8500       0.8420 NeutralProcessing                  37.08%        0.778
Terminal        5       542     1.5584       0.7093 NeutralProcessing                  53.32%        1.119
Insufficient    1        79     1.9032       0.9153 NeutralProcessing                  24.05%        0.505
Insufficient    2        79     1.7956       0.8172 NeutralProcessing                  35.44%        0.744
Insufficient    3        79     1.8167       0.8736 NeutralProcessing                  32.91%        0.690
Insufficient    5        79     1.6675       0.7589 NeutralProcessing                  48.10%        1.009

Section 6 - Dominant Destinations
=================================
Phase           H DominantState                 Probability      Lift
Birth           1 NeutralProcessing                  42.35%     0.889
Birth           2 NeutralProcessing                  37.02%     0.777
Birth           3 NeutralProcessing                  46.55%     0.977
Birth           5 NeutralProcessing                  45.28%     0.950
Growth          1 NeutralProcessing                  54.26%     1.139
Growth          2 NeutralProcessing                  65.12%     1.367
Growth          3 NeutralProcessing                  63.11%     1.324
Growth          5 NeutralProcessing                  48.05%     1.008
Maturity        1 NeutralProcessing                  51.95%     1.091
Maturity        2 NeutralProcessing                  47.66%     1.000
Maturity        3 NeutralProcessing                  44.53%     0.934
Maturity        5 NeutralProcessing                  43.75%     0.918
Decay           1 NeutralProcessing                  72.28%     1.517
Decay           2 NeutralProcessing                  59.74%     1.254
Decay           3 NeutralProcessing                  50.50%     1.059
Decay           5 NeutralProcessing                  47.85%     1.004
Terminal        1 NeutralProcessing                  38.56%     0.810
Terminal        2 NeutralProcessing                  45.39%     0.952
Terminal        3 NeutralProcessing                  37.08%     0.778
Terminal        5 NeutralProcessing                  53.32%     1.119
Insufficient    1 NeutralProcessing                  24.05%     0.505
Insufficient    2 NeutralProcessing                  35.44%     0.744
Insufficient    3 NeutralProcessing                  32.91%     0.690
Insufficient    5 NeutralProcessing                  48.10%     1.009

Section 7 - Phase vs Age Entropy Comparison
===========================================
State                         H  AgeEntropy  PhaseEntropy   Reduction
RecoveryResolution            1      0.8737        0.8737      0.0000
RecoveryResolution            2      1.1088        1.1088      0.0000
RecoveryResolution            3      1.0897        1.0897      0.0000
RecoveryResolution            5      1.5063        1.5063      0.0000
ExhaustionPersistence         1      1.2572        1.2805     -0.0233
ExhaustionPersistence         2      1.3750        1.4074     -0.0324
ExhaustionPersistence         3      1.4679        1.4789     -0.0110
ExhaustionPersistence         5      1.5627        1.5854     -0.0227
CompressionProcessing         1      1.2134        1.2373     -0.0239
CompressionProcessing         2      1.4617        1.4897     -0.0280
CompressionProcessing         3      1.6160        1.6380     -0.0219
CompressionProcessing         5      1.7100        1.7240     -0.0139
NeutralProcessing             1      1.0515        1.0628     -0.0113
NeutralProcessing             2      1.2872        1.2975     -0.0103
NeutralProcessing             3      1.3056        1.3111     -0.0055
NeutralProcessing             5      1.6401        1.6449     -0.0048
ReassertionProcessing         1      1.2883        1.4347     -0.1463
ReassertionProcessing         2      1.5149        1.5399     -0.0251
ReassertionProcessing         3      1.6842        1.7326     -0.0484
ReassertionProcessing         5      1.5336        1.5452     -0.0117
DecayToNeutral                1      1.0086        1.0086      0.0000
DecayToNeutral                2      1.8503        1.8503      0.0000
DecayToNeutral                3      1.6188        1.6188      0.0000
DecayToNeutral                5      1.6347        1.6347      0.0000
DestructiveRotation           1      1.6089        1.6344     -0.0255
DestructiveRotation           2      1.6720        1.6872     -0.0152
DestructiveRotation           3      1.8238        1.8492     -0.0255
DestructiveRotation           5      1.7058        1.7251     -0.0192
ConstructiveEmergence         1      1.0776        1.0776      0.0000
ConstructiveEmergence         2      1.0776        1.0776      0.0000
ConstructiveEmergence         3      0.9596        0.9596      0.0000
ConstructiveEmergence         5      1.0986        1.0986      0.0000
MixedStructure                1      1.6908        1.7041     -0.0133
MixedStructure                2      1.6693        1.6766     -0.0073
MixedStructure                3      1.8841        1.8913     -0.0073
MixedStructure                5      1.5061        1.5115     -0.0054

Section 8 - Outcome Layer
=========================
Phase          StatePhase                       Count      MeanDR    MedianDR      Cont      Fail      Flat      Skew
Birth                                             962    -0.02744     0.00000    49.48%    49.90%     0.62%    -0.42%
Growth                                            499     0.02196    -0.05000    47.09%    51.90%     1.00%    -4.81%
Maturity                                          252     0.11587     0.09000    56.75%    42.06%     1.19%    14.68%
Decay                                             297    -0.12973    -0.07000    45.12%    54.55%     0.34%    -9.43%
Terminal                                          538     0.00100    -0.01000    48.33%    50.93%     0.74%    -2.60%
Insufficient                                       79     0.14823     0.05000    51.90%    48.10%     0.00%     3.80%
Birth          RecoveryResolution                  90     0.35344     0.11000    52.22%    45.56%     2.22%     6.67%
Maturity       RecoveryResolution                  37    -0.17405    -0.11000    45.95%    54.05%     0.00%    -8.11%
Terminal       RecoveryResolution                  27     0.36074     0.13000    51.85%    48.15%     0.00%     3.70%
Insufficient   RecoveryResolution                   1    -0.22000    -0.22000     0.00%   100.00%     0.00%  -100.00%
Birth          ExhaustionPersistence               97    -0.43969    -0.16000    40.21%    59.79%     0.00%   -19.59%
Growth         ExhaustionPersistence               31    -0.10129    -0.25000    41.94%    58.06%     0.00%   -16.13%
Maturity       ExhaustionPersistence               21     0.09571     0.16000    52.38%    47.62%     0.00%     4.76%
Insufficient   ExhaustionPersistence               27    -0.07852     0.08000    55.56%    44.44%     0.00%    11.11%
Birth          CompressionProcessing              174    -0.01701    -0.03500    45.40%    54.02%     0.57%    -8.62%
Growth         CompressionProcessing               89     0.01382    -0.12000    42.70%    57.30%     0.00%   -14.61%
Maturity       CompressionProcessing               63     0.24444     0.03000    50.79%    44.44%     4.76%     6.35%
Insufficient   CompressionProcessing               18    -0.30556    -0.22000    22.22%    77.78%     0.00%   -55.56%
Birth          NeutralProcessing                  430     0.06498     0.03000    51.16%    48.14%     0.70%     3.02%
Growth         NeutralProcessing                  379     0.03396    -0.01000    48.55%    50.13%     1.32%    -1.58%
Maturity       NeutralProcessing                  104     0.14375     0.14500    66.35%    33.65%     0.00%    32.69%
Decay          NeutralProcessing                  297    -0.12973    -0.07000    45.12%    54.55%     0.34%    -9.43%
Terminal       NeutralProcessing                   27     0.02889     0.02000    51.85%    44.44%     3.70%     7.41%
Terminal       ReassertionProcessing              206     0.00442    -0.01000    49.03%    50.49%     0.49%    -1.46%
Insufficient   ReassertionProcessing                1     0.55000     0.55000   100.00%     0.00%     0.00%   100.00%
Birth          DecayToNeutral                     101    -0.20267     0.09000    53.47%    46.53%     0.00%     6.93%
Birth          DestructiveRotation                 70    -0.28671     0.07000    52.86%    47.14%     0.00%     5.71%
Insufficient   DestructiveRotation                 13     1.21538     0.31000    61.54%    38.46%     0.00%    23.08%
Insufficient   ConstructiveEmergence               12     0.00333     0.08500    58.33%    41.67%     0.00%    16.67%
Maturity       MixedStructure                      27     0.12148     0.08000    51.85%    48.15%     0.00%     3.70%
Terminal       MixedStructure                     278    -0.03917    -0.03000    47.12%    52.16%     0.72%    -5.04%
Insufficient   MixedStructure                       7     0.45143     0.51000    85.71%    14.29%     0.00%    71.43%

Section 9 - Population B
========================
Population B unavailable from Study 44 source bars.
Required DissipationContained + Lateral + Mature + Aligned membership fields are not exposed by the reused Study 44 lifecycle loader.
Skipped gracefully; no Population B membership was inferred.

Section 10 - Mechanical Research Notes
======================================
- Lowest normalized phase entropy: Decay t+1 (0.4823).
- Largest phase-vs-age entropy reduction: RecoveryResolution t+1 (0.0000).
- Lifecycle phases are inherited from Study 44 hazard-only inference.
- Outcomes are reported separately and are not used to define phase.
