APVA Neutral Failure Timing Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
ReferenceFailureCount: 166
StableControlCount: 852
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
2 | RangePressure+BodyPressure+VolumePressure+PolarityInstability | 2 | NeutralProcessing_Age3
2 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 2 | NeutralProcessing_Age3

9. Missed Failure Anatomy Table
FailureNode | DestinationFamily | Count | TopMissingSignal
NeutralProcessing_Age2 | MixedStructure | 17 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age6-10 | ReassertionProcessing | 10 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | ReassertionProcessing | 9 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age6-10 | MixedStructure | 8 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | CompressionProcessing | 7 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age3 | MixedStructure | 3 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | ReassertionProcessing | 3 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age2 | CompressionProcessing | 2 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age3 | MixedStructure | 2 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age5 | MixedStructure | 2 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | MixedStructure | 2 | BodyPressure+EfficiencyPressure+CloseExtremePressure
NeutralProcessing_Age2 | ReassertionProcessing | 1 | RangePressure+VolumePressure+CloseExtremePressure
NeutralProcessing_Age2 | MixedStructure | 1 | RangePressure+VolumePressure+CloseExtremePressure
NeutralProcessing_Age6-10 | CompressionProcessing | 1 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age5 | ReassertionProcessing | 1 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age11-20 | ReassertionProcessing | 1 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age11-20 | MixedStructure | 1 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | MixedStructure | 1 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age11-20 | MixedStructure | 1 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age11-20 | CompressionProcessing | 1 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | DestructiveRotation | 1 | BodyPressure+VolumePressure+EfficiencyPressure
NeutralProcessing_Age5 | MixedStructure | 1 | BodyPressure+EfficiencyPressure+CloseExtremePressure
NeutralProcessing_Age6-10 | ReassertionProcessing | 1 | BodyPressure+VolumePressure+EfficiencyPressure
NeutralProcessing_Age3 | ReassertionProcessing | 1 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age3 | MixedStructure | 1 | RangePressure+VolumePressure+CloseExtremePressure
NeutralProcessing_Age2 | CompressionProcessing | 1 | RangePressure+BodyPressure+CloseExtremePressure
NeutralProcessing_Age3 | MixedStructure | 1 | BodyPressure+VolumePressure+EfficiencyPressure
NeutralProcessing_Age6-10 | ReassertionProcessing | 1 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age2 | CompressionProcessing | 1 | RangePressure+VolumePressure+CloseExtremePressure
NeutralProcessing_Age6-10 | CompressionProcessing | 1 | RangePressure+BodyPressure+VolumePressure

10. Cross-Instrument Replication Table
Instrument | Threshold | DetectionRate | FalsePositiveRate | Precision | Recall
CL | >=1 | 89.76% | 38.46% | 31.77% | 89.76%
CL | >=2 | 68.07% | 30.53% | 30.79% | 68.07%
CL | >=3 | 49.40% | 21.51% | 31.42% | 49.40%
CL | >=4 | 31.93% | 12.62% | 33.54% | 31.93%

11. Revised State Machine Table
State | EntryRule | ExitRule | OverlayRule
NeutralFormation | NeutralProcessing_Age1 | Age advances to mature Neutral | FailureWarningScore available but not state-defining
NeutralMaturation | NeutralProcessing_Age2-4 | Age enters LateNeutral or non-neutral appears | Score >= threshold means FailurePressure
LateNeutral | NeutralProcessing_Age5+ | Non-neutral state appears | Score >= threshold means FailurePressure
DestinationSelection | First non-neutral state appears | Next non-neutral bar or return path | DestinationFamily becomes known causally
Excursion | Non-neutral continuation after destination | DecayToNeutral or NeutralProcessing_Age1 | Score not used for phase assignment
ReturnToNeutral | DecayToNeutral or final non-neutral reset context | NeutralProcessing_Age1 | Return pressure observed from state only

12. Outcome Diagnostics Table
