APVA Loop Closure Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Loop candidates: 167

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
CL | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37
Aggregate | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
CompressionProcessing -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence | 1 | 0.60% | 1 | 6.0000
ExhaustionPersistence -> RecoveryResolution | 1 | 0.60% | 1 | 3.0000
MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 1 | 0.60% | 1 | 8.0000
MixedStructure -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution | 1 | 0.60% | 1 | 8.0000
ReassertionProcessing -> DestructiveRotation -> RecoveryResolution -> CompressionProcessing | 1 | 0.60% | 1 | 6.0000
MixedStructure -> DecayToNeutral -> MixedStructure -> CompressionProcessing | 1 | 0.60% | 1 | 10.0000
MixedStructure -> ReassertionProcessing -> CompressionProcessing | 1 | 0.60% | 1 | 5.0000
MixedStructure -> RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 1 | 0.60% | 1 | 6.0000
MixedStructure -> RecoveryResolution -> CompressionProcessing -> DecayToNeutral | 1 | 0.60% | 1 | 7.0000
ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> MixedStructure | 1 | 0.60% | 1 | 4.0000
MixedStructure -> ExhaustionPersistence -> DecayToNeutral | 1 | 0.60% | 1 | 7.0000
MixedStructure -> DestructiveRotation | 1 | 0.60% | 1 | 2.0000
ExhaustionPersistence -> RecoveryResolution -> ExhaustionPersistence -> CompressionProcessing | 1 | 0.60% | 1 | 6.0000
MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DestructiveRotation -> DecayToNeutral -> MixedStructure -> RecoveryResolution -> CompressionProcessing | 1 | 0.60% | 1 | 8.0000
