APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
Age counts: 1=1453, 2=486, 3=236, 4=147, 5=115, 6-10=217, 11-20=30, 21+=0
Validated context counts: B=20, C=26, D=15
Candidate interpretation counts: ValidatedContext=61, PreviousDistinctContext=2680, CurrentStateAge=2684

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | DecayToNeutral->DestructiveRotation+Age1 | 11 | 36.36% | 63.64% | 0.9165 | 0.8342 | DecayToNeutral | 54.55% | 0.0749
PreviousDistinctContext | DecayToNeutral->DestructiveRotation+Age2 | 4 | 0.00% | 100.00% | 1.0397 | 0.9464 | DecayToNeutral | 50.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->MixedStructure+Age1 | 26 | 11.54% | 88.46% | 1.6500 | 0.7935 | DecayToNeutral | 42.31% | -0.2550
PreviousDistinctContext | DecayToNeutral->MixedStructure+Age2 | 3 | 0.00% | 100.00% | 1.0986 | 1.0000 | DecayToNeutral | 33.33% | 0.0000
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age1 | 63 | 47.62% | 52.38% | 1.2461 | 0.6954 | NeutralProcessing | 47.62% | 0.2569
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age11-20 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | MixedStructure | 100.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age2 | 30 | 50.00% | 50.00% | 1.0070 | 0.7264 | NeutralProcessing | 50.00% | 0.2736
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age3 | 15 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 2.0000
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age4 | 15 | 80.00% | 20.00% | 0.6277 | 0.5714 | NeutralProcessing | 80.00% | 1.0286
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age5 | 12 | 91.67% | 8.33% | 0.2868 | 0.4138 | NeutralProcessing | 91.67% | 1.4195
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age6-10 | 25 | 60.00% | 40.00% | 1.0322 | 0.7446 | NeutralProcessing | 60.00% | 0.4554
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age1 | 3 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age2 | 3 | 33.33% | 66.67% | 0.6365 | 0.9183 | ExhaustionPersistence | 66.67% | 0.0000
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age3 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age4 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age5 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->DecayToNeutral+Age1 | 24 | 0.00% | 100.00% | 0.9798 | 0.7068 | NeutralProcessing | 62.50% | -0.0818
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age1 | 8 | 87.50% | 12.50% | 0.3768 | 0.5436 | ExhaustionPersistence | 87.50% | 0.0000
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age2 | 7 | 42.86% | 57.14% | 0.6829 | 0.9852 | RecoveryResolution | 57.14% | 0.0000
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age3 | 3 | 100.00% | 0.00% | -0.0000 | 0.0000 | ExhaustionPersistence | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age4 | 3 | 66.67% | 33.33% | 0.6365 | 0.9183 | ExhaustionPersistence | 66.67% | 0.0000
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age5 | 2 | 0.00% | 100.00% | 0.6931 | 1.0000 | DecayToNeutral | 50.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->MixedStructure+Age1 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | ExhaustionPersistence | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age1 | 27 | 51.85% | 48.15% | 1.1059 | 0.7978 | NeutralProcessing | 51.85% | 0.2393
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age2 | 14 | 50.00% | 50.00% | 1.0346 | 0.9417 | NeutralProcessing | 50.00% | 0.0583
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age3 | 7 | 42.86% | 57.14% | 1.0042 | 0.9141 | MixedStructure | 42.86% | 0.0000
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age4 | 3 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age5 | 3 | 66.67% | 33.33% | 0.6365 | 0.9183 | NeutralProcessing | 66.67% | 0.0000
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age6-10 | 4 | 50.00% | 50.00% | 1.0397 | 0.9464 | NeutralProcessing | 50.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->ReassertionProcessing+Age1 | 3 | 0.00% | 100.00% | -0.0000 | 0.0000 | MixedStructure | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->RecoveryResolution+Age1 | 5 | 0.00% | 100.00% | 0.6730 | 0.9710 | CompressionProcessing | 60.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age1 | 9 | 44.44% | 55.56% | 0.6870 | 0.9911 | NeutralProcessing | 55.56% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age2 | 4 | 0.00% | 100.00% | 1.0397 | 0.9464 | RecoveryResolution | 50.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->DecayToNeutral+Age1 | 20 | 0.00% | 100.00% | 1.0127 | 0.7305 | NeutralProcessing | 50.00% | -0.2305
PreviousDistinctContext | ExhaustionPersistence->DestructiveRotation+Age1 | 5 | 20.00% | 80.00% | 0.9503 | 0.8650 | DecayToNeutral | 60.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->DestructiveRotation+Age2 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DecayToNeutral | 100.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age1 | 24 | 66.67% | 33.33% | 0.7621 | 0.6937 | NeutralProcessing | 66.67% | 0.6396
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age11-20 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | NeutralProcessing | 50.00% | 0.0000
