APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age key count: 35

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
ExhaustionPersistence | 2 | t+2 | 31 | ExhaustionPersistence:51.61%, RecoveryResolution:29.03%, NeutralProcessing:19.35% | 51.61% | 48.39% | 1.0183 | 0.9269 | ExhaustionPersistence | 51.61%
ExhaustionPersistence | 2 | t+3 | 31 | NeutralProcessing:29.03%, ExhaustionPersistence:25.81%, RecoveryResolution:25.81%, DestructiveRotation:12.90%, CompressionProcessing:3.23%, DecayToNeutral:3.23% | 25.81% | 74.19% | 1.5439 | 0.8617 | NeutralProcessing | 29.03%
ExhaustionPersistence | 2 | t+5 | 31 | NeutralProcessing:45.16%, CompressionProcessing:19.35%, MixedStructure:16.13%, ExhaustionPersistence:12.90%, DestructiveRotation:3.23%, ReassertionProcessing:3.23% | 12.90% | 87.10% | 1.4569 | 0.8131 | NeutralProcessing | 45.16%
ExhaustionPersistence | 3 | t+1 | 21 | ExhaustionPersistence:76.19%, NeutralProcessing:23.81% | 76.19% | 23.81% | 0.5489 | 0.7919 | ExhaustionPersistence | 76.19%
ExhaustionPersistence | 3 | t+2 | 21 | ExhaustionPersistence:38.10%, NeutralProcessing:28.57%, DestructiveRotation:19.05%, CompressionProcessing:4.76%, DecayToNeutral:4.76%, RecoveryResolution:4.76% | 38.10% | 61.90% | 1.4764 | 0.8240 | ExhaustionPersistence | 38.10%
ExhaustionPersistence | 3 | t+3 | 21 | NeutralProcessing:47.62%, DecayToNeutral:19.05%, CompressionProcessing:14.29%, MixedStructure:9.52%, DestructiveRotation:4.76%, ExhaustionPersistence:4.76% | 4.76% | 95.24% | 1.4610 | 0.8154 | NeutralProcessing | 47.62%
ExhaustionPersistence | 3 | t+5 | 21 | NeutralProcessing:23.81%, MixedStructure:19.05%, CompressionProcessing:14.29%, ExhaustionPersistence:14.29%, RecoveryResolution:14.29%, DecayToNeutral:9.52%, DestructiveRotation:4.76% | 14.29% | 85.71% | 1.8604 | 0.9561 | NeutralProcessing | 23.81%
ExhaustionPersistence | 4 | t+1 | 16 | ExhaustionPersistence:50.00%, NeutralProcessing:18.75%, DestructiveRotation:12.50%, CompressionProcessing:6.25%, DecayToNeutral:6.25%, RecoveryResolution:6.25% | 50.00% | 50.00% | 1.4402 | 0.8038 | ExhaustionPersistence | 50.00%
ExhaustionPersistence | 4 | t+2 | 16 | NeutralProcessing:37.50%, DecayToNeutral:25.00%, CompressionProcessing:18.75%, DestructiveRotation:6.25%, ExhaustionPersistence:6.25%, MixedStructure:6.25% | 6.25% | 93.75% | 1.5481 | 0.8640 | NeutralProcessing | 37.50%
ExhaustionPersistence | 4 | t+3 | 16 | NeutralProcessing:56.25%, MixedStructure:25.00%, ExhaustionPersistence:12.50%, DestructiveRotation:6.25% | 12.50% | 87.50% | 1.1034 | 0.7960 | NeutralProcessing | 56.25%
