APVA Node Flow Study v0.1
========================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35
Category count: 4

1. Node Category Assignment
StateAgeNode | NodeCategory | ImportanceScore | ReliabilityScore
4 | Insufficient -> Insufficient -> Secondary -> Secondary | 2 | 0.07%
4 | Insufficient -> Secondary -> Insufficient -> Weak | 2 | 0.07%
4 | Insufficient -> Weak -> Core -> Weak | 2 | 0.07%
4 | Insufficient -> Weak -> Secondary -> Secondary | 2 | 0.07%
4 | Insufficient -> Weak -> Weak -> Insufficient | 2 | 0.07%
4 | Insufficient -> Weak -> Weak -> Secondary | 2 | 0.07%
4 | Secondary -> Core -> Core -> Weak | 2 | 0.07%
4 | Secondary -> Insufficient -> Secondary -> Insufficient | 2 | 0.07%
4 | Secondary -> Secondary -> Weak -> Insufficient | 2 | 0.07%
4 | Weak -> Core -> Secondary -> Insufficient | 2 | 0.07%
4 | Weak -> Insufficient -> Weak -> Core | 2 | 0.07%
4 | Weak -> Insufficient -> Weak -> Secondary | 2 | 0.07%
4 | Weak -> Insufficient -> Weak -> Weak | 2 | 0.07%
4 | Weak -> Secondary -> Secondary -> Core | 2 | 0.07%
4 | Weak -> Weak -> Insufficient -> Secondary | 2 | 0.07%
4 | Weak -> Weak -> Weak -> Core | 2 | 0.07%
4 | Core -> Core -> Insufficient -> Core | 1 | 0.04%
4 | Core -> Core -> Weak -> Core | 1 | 0.04%
4 | Core -> Core -> Weak -> Secondary | 1 | 0.04%
4 | Core -> Insufficient -> Secondary -> Insufficient | 1 | 0.04%
4 | Core -> Insufficient -> Weak -> Core | 1 | 0.04%
4 | Core -> Secondary -> Insufficient -> Secondary | 1 | 0.04%
4 | Core -> Weak -> Core -> Insufficient | 1 | 0.04%
4 | Core -> Weak -> Weak -> Weak | 1 | 0.04%
4 | Insufficient -> Core -> Weak -> Weak | 1 | 0.04%
4 | Insufficient -> Secondary -> Secondary -> Core | 1 | 0.04%
4 | Insufficient -> Secondary -> Secondary -> Secondary | 1 | 0.04%
4 | Insufficient -> Secondary -> Weak -> Weak | 1 | 0.04%
4 | Insufficient -> Weak -> Insufficient -> Core | 1 | 0.04%
4 | Secondary -> Core -> Core -> Insufficient | 1 | 0.04%
4 | Secondary -> Core -> Insufficient -> Weak | 1 | 0.04%
4 | Secondary -> Core -> Weak -> Insufficient | 1 | 0.04%
4 | Secondary -> Insufficient -> Secondary -> Core | 1 | 0.04%
4 | Secondary -> Secondary -> Core -> Insufficient | 1 | 0.04%
4 | Secondary -> Weak -> Core -> Insufficient | 1 | 0.04%
4 | Weak -> Core -> Insufficient -> Core | 1 | 0.04%
4 | Weak -> Core -> Insufficient -> Secondary | 1 | 0.04%
4 | Weak -> Core -> Weak -> Insufficient | 1 | 0.04%
4 | Weak -> Insufficient -> Insufficient -> Weak | 1 | 0.04%
4 | Weak -> Insufficient -> Secondary -> Weak | 1 | 0.04%
4 | Weak -> Secondary -> Secondary -> Insufficient | 1 | 0.04%
4 | Weak -> Secondary -> Secondary -> Secondary | 1 | 0.04%
5 | Core -> Secondary -> Core -> Core -> Secondary | 103 | 3.84%
5 | Secondary -> Core -> Core -> Secondary -> Secondary | 94 | 3.51%
5 | Secondary -> Secondary -> Secondary -> Secondary -> Secondary | 83 | 3.10%
5 | Core -> Secondary -> Secondary -> Core -> Secondary | 82 | 3.06%
5 | Core -> Core -> Secondary -> Secondary -> Secondary | 76 | 2.84%
5 | Core -> Secondary -> Secondary -> Secondary -> Secondary | 61 | 2.28%
5 | Secondary -> Core -> Secondary -> Core -> Core | 57 | 2.13%
5 | Secondary -> Secondary -> Core -> Secondary -> Core | 48 | 1.79%
5 | Secondary -> Core -> Secondary -> Secondary -> Core | 44 | 1.64%
5 | Secondary -> Core -> Secondary -> Core -> Secondary | 42 | 1.57%
5 | Secondary -> Secondary -> Core -> Secondary -> Secondary | 40 | 1.49%
5 | Core -> Secondary -> Core -> Secondary -> Core | 35 | 1.31%
5 | Weak -> Core -> Secondary -> Core -> Core | 30 | 1.12%
5 | Weak -> Core -> Secondary -> Core -> Secondary | 30 | 1.12%
5 | Core -> Secondary -> Weak -> Core -> Secondary | 29 | 1.08%
5 | Secondary -> Secondary -> Secondary -> Core -> Secondary | 29 | 1.08%
5 | Core -> Secondary -> Core -> Secondary -> Secondary | 28 | 1.04%
5 | Secondary -> Weak -> Core -> Secondary -> Core | 27 | 1.01%
5 | Weak -> Core -> Secondary -> Secondary -> Core | 26 | 0.97%
5 | Secondary -> Secondary -> Secondary -> Secondary -> Weak | 24 | 0.90%
5 | Secondary -> Secondary -> Core -> Secondary -> Weak | 23 | 0.86%
5 | Secondary -> Weak -> Secondary -> Insufficient -> Insufficient | 23 | 0.86%
5 | Secondary -> Secondary -> Secondary -> Secondary -> Insufficient | 21 | 0.78%
5 | Secondary -> Secondary -> Secondary -> Weak -> Secondary | 21 | 0.78%
