APVA Memory Dynamics Study v0.1
============================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35

1. Memory Stream Reconstruction
Bar | StateAgeNode | NodeCategory | MemoryStrength | HalfLife | EntropyGrowth | ForecastConfidence
164 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
165 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
166 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
167 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
168 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
169 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
170 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
171 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
172 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
173 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
174 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
175 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
176 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
177 | MixedStructure_Age2 | Insufficient Node | 0.1567 | 5.00 | 1.2510 | 0.0357
178 | ExhaustionPersistence_Age1 | Weak Node | 0.1833 | 3.00 | 1.3577 | 0.0206
179 | ExhaustionPersistence_Age2 | Insufficient Node | 0.2760 | 3.00 | 2.1685 | 0.3871
180 | ExhaustionPersistence_Age3 | Insufficient Node | 0.1799 | 2.00 | 2.3520 | 0.5238
181 | ExhaustionPersistence_Age4 | Insufficient Node | 0.2118 | 2.00 | 1.4612 | 0.3125
182 | RecoveryResolution_Age1 | Secondary Node | 0.2234 | 5.00 | 1.9470 | 0.0851
183 | CompressionProcessing_Age1 | Weak Node | 0.1697 | 2.00 | 1.7443 | 0.2034
184 | ExhaustionPersistence_Age1 | Weak Node | 0.1833 | 3.00 | 1.3577 | 0.0206
185 | RecoveryResolution_Age1 | Secondary Node | 0.2234 | 5.00 | 1.9470 | 0.0851
186 | RecoveryResolution_Age2 | Insufficient Node | 0.2924 | 3.00 | 2.3012 | 0.4211
187 | RecoveryResolution_Age3 | Insufficient Node | 0.2922 | 3.00 | 1.8948 | 0.4444
188 | CompressionProcessing_Age1 | Weak Node | 0.1697 | 2.00 | 1.7443 | 0.2034
189 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
190 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
191 | CompressionProcessing_Age1 | Weak Node | 0.1697 | 2.00 | 1.7443 | 0.2034
192 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
193 | CompressionProcessing_Age1 | Weak Node | 0.1697 | 2.00 | 1.7443 | 0.2034
194 | CompressionProcessing_Age2 | Secondary Node | 0.2168 | 3.00 | 1.6136 | 0.0870
195 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
196 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
197 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
198 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
199 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
200 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
201 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
202 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
203 | MixedStructure_Age2 | Insufficient Node | 0.1567 | 5.00 | 1.2510 | 0.0357
204 | RecoveryResolution_Age1 | Secondary Node | 0.2234 | 5.00 | 1.9470 | 0.0851
205 | CompressionProcessing_Age1 | Weak Node | 0.1697 | 2.00 | 1.7443 | 0.2034
206 | CompressionProcessing_Age2 | Secondary Node | 0.2168 | 3.00 | 1.6136 | 0.0870
207 | CompressionProcessing_Age3 | Insufficient Node | 0.1992 | 3.00 | 1.6727 | 0.2927
208 | CompressionProcessing_Age4 | Insufficient Node | 0.2803 | 2.00 | 1.6596 | 0.3182
209 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 1.8881 | 0.3592
210 | DestructiveRotation_Age1 | Weak Node | 0.1768 | 3.00 | 1.2713 | 0.0704
211 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 1.8881 | 0.3592
212 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
213 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
214 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
215 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
216 | NeutralProcessing_Age3 | Core Node | 0.3509 | 5.00 | 2.1063 | 0.6500
217 | NeutralProcessing_Age4 | Core Node | 0.3265 | 5.00 | 2.4430 | 0.8585
218 | NeutralProcessing_Age5 | Secondary Node | 0.3357 | 3.00 | 2.1524 | 0.6842
219 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 1.7158 | 0.4904
220 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
221 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
222 | ExhaustionPersistence_Age1 | Weak Node | 0.1833 | 3.00 | 1.3577 | 0.0206
223 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 1.8881 | 0.3592
224 | DestructiveRotation_Age1 | Weak Node | 0.1768 | 3.00 | 1.2713 | 0.0704
225 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 1.8881 | 0.3592
226 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
227 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 1.8881 | 0.3592
228 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
229 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
230 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
231 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
232 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
233 | ExhaustionPersistence_Age1 | Weak Node | 0.1833 | 3.00 | 1.3577 | 0.0206
