APVA Stage + Alignment + Breakout Type Study v0.1 - CL
======================================================
Instrument: CL
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
Total stage-alignment-breakout observations: 2247
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM             495
Lateral          1752

Observation Counts by Stage
===========================
Stage0       170
Stage1       591
Stage2       506
Stage3       367
Stage4       613

Observation Counts by Alignment
===============================
Aligned          1136
Opposed          1111

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
DissipationContained     Lateral         57    56.14%         57     52.63%     3.51%    0.355789
DissipationAccepted      IBSYM           25    52.00%         12     33.33%    18.67%   -0.664233
DissipationAccepted      Lateral         55    47.27%         32     28.12%    19.15%    0.388591
ParticipationPeak        IBSYM           25    48.00%         15     60.00%   -12.00%   -0.967200
ParticipationPeak        Lateral         54    53.70%         25     52.00%     1.70%    0.182681
ParticipationClimactic   IBSYM            9    44.44%          5     80.00%   -35.56%   -2.600889
ParticipationClimactic   Lateral         29    44.83%         11     36.36%     8.46%    0.588464
PeakContained            IBSYM            5    60.00%          8     62.50%    -2.50%   -0.435000
PeakContained            Lateral         16    56.25%         11     63.64%    -7.39%    0.141136
PeakAccepted             IBSYM           17    35.29%          7     57.14%   -21.85%   -1.115126
PeakAccepted             Lateral         31    58.06%         13     38.46%    19.60%    0.312779
ClimacticContained       IBSYM            2    50.00%          1    100.00%   -50.00%   -0.700000
ClimacticContained       Lateral          5    60.00%          3     33.33%    26.67%    1.785333
ClimacticAccepted        IBSYM            6    50.00%          4     75.00%   -25.00%   -3.100833
ClimacticAccepted        Lateral         23    43.48%          8     37.50%     5.98%    0.326087

Immature Aligned versus Immature Opposed by BreakoutType
========================================================
Event                    Type     LeftCount  LeftCont5 RightCount  RightCont5 DeltaCont5  DeltaMean5
AllBars                  IBSYM           86    40.70%         75     48.00%    -7.30%   -0.242211
AllBars                  Lateral        357    46.22%        239     52.72%    -6.50%    0.014997
DissipationAny           IBSYM           44    47.73%         43     51.16%    -3.44%   -0.086195
DissipationAny           Lateral        170    45.88%        139     53.24%    -7.36%    0.004135
DissipationContained     IBSYM           25    56.00%         29     48.28%     7.72%   -0.146069
DissipationContained     Lateral         91    49.45%         77     42.86%     6.59%    0.273027
DissipationAccepted      IBSYM           19    36.84%         13     53.85%   -17.00%    0.010405
DissipationAccepted      Lateral         77    42.86%         60     65.00%   -22.14%   -0.296255
ParticipationPeak        IBSYM            9    33.33%          7     28.57%     4.76%   -0.136190
ParticipationPeak        Lateral         73    45.21%         24     50.00%    -4.79%    0.198670
ParticipationClimactic   IBSYM            6    33.33%          0      0.00%    33.33%   -0.690000
ParticipationClimactic   Lateral         31    61.29%          2     50.00%    11.29%    1.054194
PeakContained            IBSYM            1     0.00%          3      0.00%     0.00%    0.320000
PeakContained            Lateral         22    50.00%          6     50.00%     0.00%    1.458636
PeakAccepted             IBSYM            8    37.50%          3     33.33%     4.17%   -0.363750
PeakAccepted             Lateral         48    41.67%         13     38.46%     3.21%   -0.054583
ClimacticContained       IBSYM            0     0.00%          0      0.00%     0.00%    0.000000
ClimacticContained       Lateral          3   100.00%          0      0.00%   100.00%    6.946667
ClimacticAccepted        IBSYM            6    33.33%          0      0.00%    33.33%   -0.690000
ClimacticAccepted        Lateral         28    57.14%          2     50.00%     7.14%    0.370357

