return,pressure,source_file,archetype,time
3.25,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-21 08:00:00
0.5,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-21 08:05:00
8.5,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-21 08:10:00
-12.0,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-21 08:15:00
-9.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 08:20:00
2.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 08:25:00
2.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 08:30:00
-4.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 08:45:00
-8.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 09:05:00
-4.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 09:15:00
0.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 09:25:00
2.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 09:30:00
19.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Pure Unresolved Compression Equilibrium,2026-04-21 09:50:00
11.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 10:00:00
13.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 10:05:00
2.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 10:10:00
-16.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 10:15:00
-25.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 10:20:00
-17.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 10:25:00
11.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 10:30:00
27.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 12:40:00
-32.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 12:45:00
-25.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 12:50:00
-27.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-21 13:05:00
-2.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-21 13:35:00
20.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-21 13:40:00
-26.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-21 13:45:00
-3.25,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-22 07:50:00
0.5,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-22 07:55:00
1.5,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-22 08:00:00
2.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-22 08:10:00
-0.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-22 08:15:00
-6.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-22 08:20:00
-4.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-22 08:25:00
-5.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Pure Unresolved Compression Equilibrium,2026-04-22 08:30:00
-5.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Pure Unresolved Compression Equilibrium,2026-04-22 08:35:00
-6.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-22 08:45:00
-1.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-22 08:50:00
-3.0,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-22 10:45:00
-2.75,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-22 10:50:00
5.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-22 10:55:00
4.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-22 11:00:00
6.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-22 11:05:00
