APVA Loop Closure Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Loop candidates: 114

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
NQ | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30
Aggregate | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
MixedStructure -> RecoveryResolution -> CompressionProcessing -> MixedStructure | 1 | 0.88% | 1 | 8.0000
ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> DestructiveRotation -> ExhaustionPersistence -> RecoveryResolution | 1 | 0.88% | 1 | 9.0000
ReassertionProcessing -> DestructiveRotation -> ReassertionProcessing -> DestructiveRotation -> ReassertionProcessing -> DestructiveRotation | 1 | 0.88% | 1 | 8.0000
MixedStructure -> DestructiveRotation -> RecoveryResolution -> CompressionProcessing | 1 | 0.88% | 1 | 8.0000
MixedStructure -> ExhaustionPersistence -> DestructiveRotation -> CompressionProcessing | 1 | 0.88% | 1 | 6.0000
CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 1 | 0.88% | 1 | 5.0000
ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 1 | 0.88% | 1 | 5.0000
ConstructiveEmergence -> MixedStructure | 1 | 0.88% | 1 | 3.0000
ReassertionProcessing -> DestructiveRotation -> DecayToNeutral | 1 | 0.88% | 1 | 6.0000
MixedStructure -> ExhaustionPersistence -> DecayToNeutral | 1 | 0.88% | 1 | 3.0000
ReassertionProcessing -> DestructiveRotation | 1 | 0.88% | 1 | 3.0000
RecoveryResolution -> CompressionProcessing -> DecayToNeutral -> ConstructiveEmergence -> MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral | 1 | 0.88% | 1 | 11.0000
