APVA Excursion Destinations Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Destination event count: 57

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
RecoveryResolution | PolarityFlipFlag | t-2 | 1.0000 | 1.0000 | 0.0000
RecoveryResolution | PolarityFlipFlag | t-3 | 0.5000 | 0.5000 | 0.5000
RecoveryResolution | PolarityFlipFlag | t-5 | 0.5000 | 0.5000 | 0.5000
ExhaustionPersistence | RangeRelativeToPrevious | t-1 | 3.0565 | 3.1282 | 0.6086
ExhaustionPersistence | RangeRelativeToPrevious | t-2 | 1.4669 | 0.9042 | 1.3728
ExhaustionPersistence | RangeRelativeToPrevious | t-3 | 0.9155 | 0.8919 | 0.2203
ExhaustionPersistence | RangeRelativeToPrevious | t-5 | 1.0789 | 1.0067 | 0.3109
ExhaustionPersistence | BodyRelativeToPrevious | t-1 | 6.6095 | 4.4655 | 4.3878
ExhaustionPersistence | BodyRelativeToPrevious | t-2 | 1.4577 | 1.1413 | 1.1195
ExhaustionPersistence | BodyRelativeToPrevious | t-3 | 3.8233 | 1.0188 | 6.3738
ExhaustionPersistence | BodyRelativeToPrevious | t-5 | 2.9975 | 3.0027 | 1.8205
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-1 | 3.0565 | 3.1282 | 0.6086
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-2 | 1.4669 | 0.9042 | 1.3728
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-3 | 0.9155 | 0.8919 | 0.2203
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-5 | 1.0789 | 1.0067 | 0.3109
ExhaustionPersistence | VolumeRelativeToPrevious | t-1 | 1.8891 | 2.0345 | 0.5441
ExhaustionPersistence | VolumeRelativeToPrevious | t-2 | 1.2537 | 1.1569 | 0.3179
ExhaustionPersistence | VolumeRelativeToPrevious | t-3 | 0.9014 | 0.8801 | 0.1537
ExhaustionPersistence | VolumeRelativeToPrevious | t-5 | 0.9330 | 0.8942 | 0.2674
ExhaustionPersistence | VolumeRelativeToRollingMean | t-1 | 1.2537 | 1.2582 | 0.0767
ExhaustionPersistence | VolumeRelativeToRollingMean | t-2 | 0.5514 | 0.5455 | 0.3101
ExhaustionPersistence | VolumeRelativeToRollingMean | t-3 | 0.4503 | 0.5126 | 0.2366
ExhaustionPersistence | VolumeRelativeToRollingMean | t-5 | 0.5478 | 0.5742 | 0.3465
ExhaustionPersistence | VolumeRelativeToSessionMean | t-1 | 0.9967 | 1.0000 | 0.1194
ExhaustionPersistence | VolumeRelativeToSessionMean | t-2 | 0.4287 | 0.4409 | 0.2214
ExhaustionPersistence | VolumeRelativeToSessionMean | t-3 | 0.3654 | 0.4228 | 0.1989
ExhaustionPersistence | VolumeRelativeToSessionMean | t-5 | 0.4351 | 0.4847 | 0.2489
ExhaustionPersistence | EfficiencyRatio | t-1 | 0.6974 | 0.7069 | 0.1941
ExhaustionPersistence | EfficiencyRatio | t-2 | 0.3308 | 0.3676 | 0.2222
ExhaustionPersistence | EfficiencyRatio | t-3 | 0.3372 | 0.2426 | 0.2345
ExhaustionPersistence | EfficiencyRatio | t-5 | 0.3633 | 0.3642 | 0.1352
ExhaustionPersistence | CloseLocation | t-1 | 0.2923 | 0.1707 | 0.3149
ExhaustionPersistence | CloseLocation | t-2 | 0.4062 | 0.3967 | 0.1549
ExhaustionPersistence | CloseLocation | t-3 | 0.5919 | 0.6176 | 0.2559
ExhaustionPersistence | CloseLocation | t-5 | 0.5132 | 0.4830 | 0.1881
ExhaustionPersistence | MemoryStrength | t-1 | 0.1972 | 0.1972 | 0.0000
ExhaustionPersistence | MemoryStrength | t-2 | 0.2501 | 0.2501 | 0.0529
ExhaustionPersistence | MemoryStrength | t-3 | 0.3024 | 0.3377 | 0.0783
ExhaustionPersistence | MemoryStrength | t-5 | 0.3035 | 0.2959 | 0.0575
ExhaustionPersistence | BranchEntropy | t-1 | 1.2412 | 1.2412 | 0.0000
ExhaustionPersistence | BranchEntropy | t-2 | 0.8679 | 0.8679 | 0.3733
ExhaustionPersistence | BranchEntropy | t-3 | 0.5938 | 0.3449 | 0.4699
ExhaustionPersistence | BranchEntropy | t-5 | 0.9076 | 1.0659 | 0.3424
ExhaustionPersistence | PolarityFlipFlag | t-1 | 0.6667 | 1.0000 | 0.4714
ExhaustionPersistence | PolarityFlipFlag | t-2 | 0.6667 | 1.0000 | 0.4714
ExhaustionPersistence | PolarityFlipFlag | t-3 | 0.6667 | 1.0000 | 0.4714
ExhaustionPersistence | PolarityFlipFlag | t-5 | 0.8333 | 1.0000 | 0.3727
ConstructiveEmergence | RangeRelativeToPrevious | t-1 | 1.9633 | 1.9633 | 0.2967
ConstructiveEmergence | RangeRelativeToPrevious | t-2 | 0.7509 | 0.7509 | 0.2607
ConstructiveEmergence | RangeRelativeToPrevious | t-3 | 0.9469 | 0.9469 | 0.1991
ConstructiveEmergence | RangeRelativeToPrevious | t-5 | 0.6186 | 0.6186 | 0.2323
ConstructiveEmergence | BodyRelativeToPrevious | t-1 | 26.1324 | 26.1324 | 18.3676
ConstructiveEmergence | BodyRelativeToPrevious | t-2 | 0.2776 | 0.2776 | 0.2376
ConstructiveEmergence | BodyRelativeToPrevious | t-3 | 2.1944 | 2.1944 | 0.8056
ConstructiveEmergence | BodyRelativeToPrevious | t-5 | 2.5106 | 2.5106 | 2.4894
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-1 | 1.9633 | 1.9633 | 0.2967
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-2 | 0.7509 | 0.7509 | 0.2607
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-3 | 0.9469 | 0.9469 | 0.1991
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-5 | 0.6186 | 0.6186 | 0.2323
ConstructiveEmergence | VolumeRelativeToPrevious | t-1 | 1.8701 | 1.8701 | 0.1591
ConstructiveEmergence | VolumeRelativeToPrevious | t-2 | 0.8698 | 0.8698 | 0.0557
ConstructiveEmergence | VolumeRelativeToPrevious | t-3 | 0.9454 | 0.9454 | 0.1743
ConstructiveEmergence | VolumeRelativeToPrevious | t-5 | 0.5771 | 0.5771 | 0.0195
ConstructiveEmergence | VolumeRelativeToRollingMean | t-1 | 0.9403 | 0.9403 | 0.0920
ConstructiveEmergence | VolumeRelativeToRollingMean | t-2 | 0.4843 | 0.4843 | 0.0907
ConstructiveEmergence | VolumeRelativeToRollingMean | t-3 | 0.5241 | 0.5241 | 0.0659
ConstructiveEmergence | VolumeRelativeToRollingMean | t-5 | 0.4479 | 0.4479 | 0.0306
ConstructiveEmergence | VolumeRelativeToSessionMean | t-1 | 0.6247 | 0.6247 | 0.0451
ConstructiveEmergence | VolumeRelativeToSessionMean | t-2 | 0.3348 | 0.3348 | 0.0529
ConstructiveEmergence | VolumeRelativeToSessionMean | t-3 | 0.3747 | 0.3747 | 0.0363
ConstructiveEmergence | VolumeRelativeToSessionMean | t-5 | 0.3454 | 0.3454 | 0.0115
ConstructiveEmergence | EfficiencyRatio | t-1 | 0.8490 | 0.8490 | 0.0614
ConstructiveEmergence | EfficiencyRatio | t-2 | 0.1177 | 0.1177 | 0.0777
ConstructiveEmergence | EfficiencyRatio | t-3 | 0.4370 | 0.4370 | 0.0532
ConstructiveEmergence | EfficiencyRatio | t-5 | 0.2258 | 0.2258 | 0.1866
ConstructiveEmergence | CloseLocation | t-1 | 0.4425 | 0.4425 | 0.3805
ConstructiveEmergence | CloseLocation | t-2 | 0.6336 | 0.6336 | 0.1136
ConstructiveEmergence | CloseLocation | t-3 | 0.5586 | 0.5586 | 0.1865
ConstructiveEmergence | CloseLocation | t-5 | 0.7560 | 0.7560 | 0.0893
ConstructiveEmergence | MemoryStrength | t-1 | 0.1972 | 0.1972 | 0.0000
ConstructiveEmergence | MemoryStrength | t-2 | 0.2501 | 0.2501 | 0.0529
ConstructiveEmergence | MemoryStrength | t-3 | 0.3377 | 0.3377 | 0.0347
ConstructiveEmergence | MemoryStrength | t-5 | 0.3299 | 0.3299 | 0.0339
ConstructiveEmergence | BranchEntropy | t-1 | 1.2412 | 1.2412 | 0.0000
ConstructiveEmergence | BranchEntropy | t-2 | 0.8679 | 0.8679 | 0.3733
ConstructiveEmergence | BranchEntropy | t-3 | 0.3449 | 0.3449 | 0.1497
ConstructiveEmergence | BranchEntropy | t-5 | 0.9387 | 0.9387 | 0.1272
ConstructiveEmergence | PolarityFlipFlag | t-1 | 0.5000 | 0.5000 | 0.5000
ConstructiveEmergence | PolarityFlipFlag | t-2 | 0.5000 | 0.5000 | 0.5000
ConstructiveEmergence | PolarityFlipFlag | t-3 | 0.5000 | 0.5000 | 0.5000
ConstructiveEmergence | PolarityFlipFlag | t-5 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-5 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-5 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-5 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | VolumeRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | VolumeRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
