APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
State counts: RecoveryResolution=68, ExhaustionPersistence=107, CompressionProcessing=205, NeutralProcessing=976, ReassertionProcessing=179, DecayToNeutral=86, DestructiveRotation=79, ConstructiveEmergence=14, MixedStructure=216
State-age key count: 34

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
MixedStructure | 1 | t+2 | 183 | NeutralProcessing:40.98%, MixedStructure:20.22%, ReassertionProcessing:12.02%, DecayToNeutral:7.65%, CompressionProcessing:7.10%, ExhaustionPersistence:4.37%, RecoveryResolution:3.83%, DestructiveRotation:3.28%, ConstructiveEmergence:0.55% | 20.22% | 79.78% | 1.7302 | 0.7874 | NeutralProcessing | 40.98%
MixedStructure | 1 | t+3 | 183 | NeutralProcessing:34.97%, MixedStructure:17.49%, CompressionProcessing:11.48%, DecayToNeutral:9.29%, DestructiveRotation:7.65%, ReassertionProcessing:7.65%, ExhaustionPersistence:6.01%, RecoveryResolution:3.83%, ConstructiveEmergence:1.64% | 17.49% | 82.51% | 1.8960 | 0.8629 | NeutralProcessing | 34.97%
MixedStructure | 1 | t+5 | 183 | NeutralProcessing:48.09%, CompressionProcessing:15.85%, MixedStructure:10.93%, ReassertionProcessing:9.29%, DestructiveRotation:5.46%, DecayToNeutral:4.92%, ExhaustionPersistence:4.37%, ConstructiveEmergence:0.55%, RecoveryResolution:0.55% | 10.93% | 89.07% | 1.6074 | 0.7316 | NeutralProcessing | 48.09%
MixedStructure | 2 | t+1 | 27 | NeutralProcessing:33.33%, DecayToNeutral:25.93%, MixedStructure:14.81%, RecoveryResolution:14.81%, ReassertionProcessing:7.41%, DestructiveRotation:3.70% | 14.81% | 85.19% | 1.5968 | 0.8912 | NeutralProcessing | 33.33%
MixedStructure | 2 | t+2 | 27 | MixedStructure:37.04%, NeutralProcessing:33.33%, CompressionProcessing:14.81%, DestructiveRotation:7.41%, DecayToNeutral:3.70%, ReassertionProcessing:3.70% | 37.04% | 62.96% | 1.4539 | 0.8114 | MixedStructure | 37.04%
MixedStructure | 2 | t+3 | 27 | NeutralProcessing:55.56%, CompressionProcessing:11.11%, ReassertionProcessing:11.11%, DecayToNeutral:7.41%, DestructiveRotation:7.41%, MixedStructure:3.70%, RecoveryResolution:3.70% | 3.70% | 96.30% | 1.4445 | 0.7423 | NeutralProcessing | 55.56%
MixedStructure | 2 | t+5 | 27 | NeutralProcessing:55.56%, CompressionProcessing:11.11%, RecoveryResolution:11.11%, DestructiveRotation:7.41%, MixedStructure:7.41%, ReassertionProcessing:7.41% | 7.41% | 92.59% | 1.3932 | 0.7776 | NeutralProcessing | 55.56%
MixedStructure | 3 | t+1 | 4 | MixedStructure:50.00%, DecayToNeutral:25.00%, DestructiveRotation:25.00% | 50.00% | 50.00% | 1.0397 | 0.9464 | MixedStructure | 50.00%
MixedStructure | 3 | t+2 | 4 | NeutralProcessing:50.00%, CompressionProcessing:25.00%, DestructiveRotation:25.00% | 0.00% | 100.00% | 1.0397 | 0.9464 | NeutralProcessing | 50.00%
MixedStructure | 3 | t+3 | 4 | CompressionProcessing:25.00%, DestructiveRotation:25.00%, MixedStructure:25.00%, ReassertionProcessing:25.00% | 25.00% | 75.00% | 1.3863 | 1.0000 | CompressionProcessing | 25.00%
MixedStructure | 3 | t+5 | 4 | CompressionProcessing:50.00%, DestructiveRotation:25.00%, MixedStructure:25.00% | 25.00% | 75.00% | 1.0397 | 0.9464 | CompressionProcessing | 50.00%
MixedStructure | 4 | t+1 | 2 | DestructiveRotation:50.00%, NeutralProcessing:50.00% | 0.00% | 100.00% | 0.6931 | 1.0000 | DestructiveRotation | 50.00%
MixedStructure | 4 | t+2 | 2 | DestructiveRotation:50.00%, ReassertionProcessing:50.00% | 0.00% | 100.00% | 0.6931 | 1.0000 | DestructiveRotation | 50.00%
MixedStructure | 4 | t+3 | 2 | ReassertionProcessing:50.00%, RecoveryResolution:50.00% | 0.00% | 100.00% | 0.6931 | 1.0000 | ReassertionProcessing | 50.00%
MixedStructure | 4 | t+5 | 2 | NeutralProcessing:100.00% | 0.00% | 100.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00%
NeutralProcessing | 1 | t+1 | 297 | NeutralProcessing:58.92%, ReassertionProcessing:15.15%, MixedStructure:13.13%, CompressionProcessing:7.07%, DestructiveRotation:4.38%, ConstructiveEmergence:1.35% | 58.92% | 41.08% | 1.2465 | 0.6957 | NeutralProcessing | 58.92%
NeutralProcessing | 1 | t+2 | 297 | NeutralProcessing:48.82%, MixedStructure:18.18%, ReassertionProcessing:12.46%, CompressionProcessing:7.41%, DecayToNeutral:4.71%, ExhaustionPersistence:3.03%, DestructiveRotation:2.36%, RecoveryResolution:2.02%, ConstructiveEmergence:1.01% | 48.82% | 51.18% | 1.5758 | 0.7172 | NeutralProcessing | 48.82%
NeutralProcessing | 1 | t+3 | 297 | NeutralProcessing:61.28%, ReassertionProcessing:12.12%, MixedStructure:9.43%, CompressionProcessing:6.73%, ExhaustionPersistence:5.05%, DestructiveRotation:2.69%, RecoveryResolution:1.68%, DecayToNeutral:1.01% | 61.28% | 38.72% | 1.3235 | 0.6365 | NeutralProcessing | 61.28%
NeutralProcessing | 1 | t+5 | 297 | NeutralProcessing:54.21%, MixedStructure:11.78%, ReassertionProcessing:10.44%, CompressionProcessing:7.07%, DestructiveRotation:4.38%, ExhaustionPersistence:4.04%, RecoveryResolution:4.04%, DecayToNeutral:3.70%, ConstructiveEmergence:0.34% | 54.21% | 45.79% | 1.5446 | 0.7030 | NeutralProcessing | 54.21%
