APVA Destination Robustness Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 57

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
DestructiveRotation | EfficiencyRatio | t-3 | 0.0000 | 0 | Flat | 27
DestructiveRotation | EfficiencyRatio | t-5 | 0.0000 | 0 | Flat | 28
DestructiveRotation | CloseLocation | t-1 | 0.0000 | 0 | Flat | 29
DestructiveRotation | CloseLocation | t-2 | 0.0000 | 0 | Flat | 30
DestructiveRotation | CloseLocation | t-3 | 0.0000 | 0 | Flat | 31
DestructiveRotation | CloseLocation | t-5 | 0.0000 | 0 | Flat | 32
DestructiveRotation | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 33
DestructiveRotation | MemoryStrength | t-2 | 0.0000 | 0 | Flat | 34
DestructiveRotation | MemoryStrength | t-3 | 0.0000 | 0 | Flat | 35
DestructiveRotation | MemoryStrength | t-5 | 0.0000 | 0 | Flat | 36
DestructiveRotation | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 37
DestructiveRotation | BranchEntropy | t-2 | 0.0000 | 0 | Flat | 38
DestructiveRotation | BranchEntropy | t-3 | 0.0000 | 0 | Flat | 39
DestructiveRotation | BranchEntropy | t-5 | 0.0000 | 0 | Flat | 40
DestructiveRotation | PolarityFlipFlag | t-1 | 0.0000 | 0 | Flat | 41
DestructiveRotation | PolarityFlipFlag | t-2 | 0.0000 | 0 | Flat | 42
DestructiveRotation | PolarityFlipFlag | t-3 | 0.0000 | 0 | Flat | 43
DestructiveRotation | PolarityFlipFlag | t-5 | 0.0000 | 0 | Flat | 44
ExhaustionPersistence | RangeRelativeToPrevious | t-1 | 3.4560 | 1 | Positive | 1
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-1 | 3.4520 | 1 | Positive | 2
ExhaustionPersistence | VolumeRelativeToPrevious | t-1 | 1.7270 | 1 | Positive | 3
ExhaustionPersistence | VolumeRelativeToSessionMean | t-1 | 1.3957 | 1 | Positive | 4
ExhaustionPersistence | VolumeRelativeToRollingMean | t-1 | 1.3042 | 1 | Positive | 5
ExhaustionPersistence | EfficiencyRatio | t-1 | 1.2222 | 1 | Positive | 6
ExhaustionPersistence | VolumeRelativeToSessionMean | t-3 | -0.6880 | 1 | Negative | 7
ExhaustionPersistence | VolumeRelativeToRollingMean | t-3 | -0.6709 | 1 | Negative | 8
ExhaustionPersistence | CloseLocation | t-1 | -0.6677 | 1 | Negative | 9
ExhaustionPersistence | BodyRelativeToPrevious | t-1 | 0.6497 | 1 | Positive | 10
ExhaustionPersistence | PolarityFlipFlag | t-5 | 0.6468 | 1 | Positive | 11
ExhaustionPersistence | PolarityFlipFlag | t-1 | 0.4867 | 1 | Positive | 12
ExhaustionPersistence | VolumeRelativeToPrevious | t-3 | -0.4859 | 1 | Negative | 13
ExhaustionPersistence | BodyRelativeToPrevious | t-2 | -0.4824 | 1 | Negative | 14
ExhaustionPersistence | EfficiencyRatio | t-2 | -0.4704 | 1 | Negative | 15
ExhaustionPersistence | VolumeRelativeToSessionMean | t-2 | -0.4310 | 1 | Negative | 16
ExhaustionPersistence | BranchEntropy | t-5 | 0.4089 | 1 | Positive | 17
ExhaustionPersistence | MemoryStrength | t-5 | -0.4025 | 1 | Negative | 18
ExhaustionPersistence | CloseLocation | t-2 | -0.3911 | 1 | Negative | 19
ExhaustionPersistence | VolumeRelativeToRollingMean | t-2 | -0.3774 | 1 | Negative | 20
ExhaustionPersistence | PolarityFlipFlag | t-2 | 0.3632 | 1 | Positive | 21
ExhaustionPersistence | MemoryStrength | t-2 | 0.3430 | 1 | Positive | 22
ExhaustionPersistence | BranchEntropy | t-2 | -0.3430 | 1 | Negative | 23
ExhaustionPersistence | RangeRelativeToPrevious | t-3 | -0.3282 | 1 | Negative | 24
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-3 | -0.3227 | 1 | Negative | 25
ExhaustionPersistence | RangeRelativeToPrevious | t-5 | 0.2369 | 0 | Positive | 26
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-5 | 0.2369 | 0 | Positive | 27
ExhaustionPersistence | MemoryStrength | t-3 | 0.2058 | 0 | Positive | 28
ExhaustionPersistence | CloseLocation | t-3 | 0.1774 | 0 | Positive | 29
ExhaustionPersistence | BranchEntropy | t-3 | -0.1715 | 0 | Negative | 30
ExhaustionPersistence | PolarityFlipFlag | t-3 | 0.1628 | 0 | Positive | 31
ExhaustionPersistence | VolumeRelativeToSessionMean | t-5 | -0.1563 | 0 | Negative | 32
ExhaustionPersistence | VolumeRelativeToPrevious | t-2 | 0.1379 | 0 | Positive | 33
ExhaustionPersistence | BodyRelativeToPrevious | t-5 | -0.1003 | 0 | Negative | 34
ExhaustionPersistence | VolumeRelativeToRollingMean | t-5 | -0.0966 | 0 | Negative | 35
ExhaustionPersistence | EfficiencyRatio | t-5 | -0.0908 | 0 | Negative | 36
ExhaustionPersistence | RangeRelativeToPrevious | t-2 | 0.0562 | 0 | Positive | 37
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-2 | 0.0558 | 0 | Positive | 38
ExhaustionPersistence | VolumeRelativeToPrevious | t-5 | -0.0390 | 0 | Negative | 39
ExhaustionPersistence | EfficiencyRatio | t-3 | 0.0245 | 0 | Positive | 40
ExhaustionPersistence | BodyRelativeToPrevious | t-3 | -0.0235 | 0 | Negative | 41
ExhaustionPersistence | CloseLocation | t-5 | -0.0137 | 0 | Negative | 42
ExhaustionPersistence | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 43
ExhaustionPersistence | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 44
MixedStructure | PolarityFlipFlag | t-3 | -0.7413 | 1 | Negative | 1
MixedStructure | VolumeRelativeToPrevious | t-3 | 0.7186 | 1 | Positive | 2
MixedStructure | RangeRelativeToPrevious | t-3 | 0.5420 | 1 | Positive | 3
MixedStructure | TrueRangeRelativeToPrevious | t-3 | 0.5348 | 1 | Positive | 4
MixedStructure | PolarityFlipFlag | t-2 | -0.4567 | 1 | Negative | 5
