Candidate,ValidationMode,Dataset,DatasetCode,DatasetType,VolumeCoverageGroup,ExplicitVolumeAvailable,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,ValidationPass,ValidationStatus,ContributionRankBestToWorst
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_062023_generated.csv,062023,Generated Regime,VolumeEnabled,True,32,0.4718634729605057,-0.0126126126126126,1.8594508587253713,15.099631134736182,0.46875,0.10084677908760642,0.06847552728696692,False,fail,5
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092024_generated.csv,092024,Generated Regime,LegacyOrNoExplicitVolume,False,63,0.16821404620286418,0.1647058823529411,1.4242426179666872,10.597484910780443,0.5873015873015873,0.07077803491657217,0.04805868174567465,False,fail,6
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,122022,Generated Regime,LegacyOrNoExplicitVolume,False,55,0.16242263371077065,-0.1482602118003025,1.2356341880208483,8.933244854092386,0.45454545454545453,0.05966297867129268,0.040511496361016745,False,fail,7
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,032024,Generated Regime,VolumeEnabled,True,67,0.05563913217345487,0.0585774058577405,1.0803338995217941,3.7278218556214764,0.5074626865671642,0.02489721926299085,0.016905351191548824,False,fail,8
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_generated.csv,LegacyGenerated,Legacy Generated,LegacyOrNoExplicitVolume,False,35,-0.028299639673964202,0.2322606436138317,0.9460038657851455,-0.9904873885887471,0.5714285714285714,-0.006615225363769442,0.004491775037383412,False,fail,9
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_062019_generated.csv,062019,Generated Regime,VolumeEnabled,True,65,-0.08525665582563899,0.0472972972972972,0.8502988288992053,-5.541682628666535,0.5076923076923077,-0.037011556033386794,0.025131053644218432,False,fail,10
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_122017_generated.csv,122017,Generated Regime,VolumeEnabled,True,152,-0.07982561652117394,-0.08979656081533069,0.8812860037341529,-12.133493711218438,0.45394736842105265,-0.08103666566007717,0.05502434942251297,False,fail,11
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_122023_generated.csv,122023,Generated Regime,VolumeEnabled,True,66,-0.2534210820133245,-0.26271215380937746,0.5897197851185914,-16.725791412879413,0.42424242424242425,-0.11170750971523684,0.07585002415416632,False,fail,12
RRCCC,Reference,tables/apva_forward_signed_return_dataset_v1.csv,CanonicalOriginal,Canonical/Original,LegacyOrNoExplicitVolume,False,256,0.2591099065935348,0.0696559876173154,1.479949676340812,66.3321360879449,0.51953125,1.1807060744703428,0.5268007787500034,True,pass,1
RRCCC,Reference,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,032024,Generated Regime,VolumeEnabled,True,21,0.30938238631731735,0.0318543799772468,1.5900271329955848,6.497030112663664,0.5238095238095238,0.11564655342725884,0.05159852712078521,False,fail,2
RRCCC,Reference,tables/apva_forward_signed_return_dataset_es_nq_062019_generated.csv,062019,Generated Regime,VolumeEnabled,True,17,0.33992425689653527,0.0,2.0438242668866096,5.778712367241099,0.47058823529411764,0.10286056196912458,0.04589374554738847,False,fail,3
