Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,ContributionRankBestToWorst,ContributionStatus,PassFailApplicability
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,062016,2016,71,0.02654317084577377,0.0,1.0419226328639812,1.8845651300499375,0.4647887323943662,0.010894589836617086,0.007646605983556689,9,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,LegacyGenerated,LegacyGenerated,36,0.020130440485681984,0.2554338043939805,1.0395065855825165,0.7246958574845515,0.5833333333333334,0.00418943553486023,0.0029404468923572187,10,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,062019,2019,74,-0.07785221831952284,0.0236486486486486,0.8658193441968889,-5.76106415564469,0.5,-0.0333044637181218,0.023375465746328088,11,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,122017,2017,161,-0.05920696427855145,0.0,0.9081550104410345,-9.532321248846783,0.45962732919254656,-0.055105938521903666,0.03867730731953261,12,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,122023,2023,71,-0.3020367186044254,-0.3083700440528634,0.5378805720797574,-21.4446070209142,0.4225352112676056,-0.12397034943234278,0.08701129918327587,13,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,YearAggregate,CanonicalOriginal,CanonicalOriginal,257,0.27542394601508324,0.0816326530612244,1.5466293159178857,70.78395412587639,0.5291828793774319,0.40919898968676593,0.33009171846480706,1,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,YearAggregate,2022,2022,123,0.46013282450601195,0.1926140477914554,1.7357347528612943,56.59633741423947,0.5284552845528455,0.3271809886276449,0.2639296222793354,2,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,YearAggregate,2020,2020,56,0.4405783046474218,0.2821399839098955,1.9855280009203298,24.67238506025562,0.5535714285714286,0.14262999523685424,0.11505644299952954,3,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,YearAggregate,2021,2021,60,0.3542602472082953,0.1479856584093872,1.7945688047892505,21.255614832497717,0.5666666666666667,0.1228777937322022,0.09912278162093058,4,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,YearAggregate,2024,2024,137,0.12986813301669972,0.1590909090909091,1.242088358834503,17.79193422328786,0.5547445255474452,0.10285440533310482,0.08297035980970903,5,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,YearAggregate,2016,2016,71,0.02654317084577377,0.0,1.0419226328639812,1.8845651300499375,0.4647887323943662,0.010894589836617088,0.008788423167640247,6,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,YearAggregate,LegacyGenerated,LegacyGenerated,36,0.020130440485681984,0.2554338043939805,1.0395065855825165,0.7246958574845515,0.5833333333333334,0.00418943553486023,0.003379524412213539,7,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,YearAggregate,2023,2023,105,-0.051755800760157525,-0.1171548117154811,0.9152501128646318,-5.43435907981654,0.4380952380952381,-0.031415795748023966,0.02534242328736618,8,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,YearAggregate,2019,2019,74,-0.07785221831952284,0.0236486486486486,0.8658193441968889,-5.76106415564469,0.5,-0.033304463718121805,0.0268659697074985,9,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,YearAggregate,2017,2017,161,-0.05920696427855145,0.0,0.9081550104410345,-9.532321248846783,0.45962732919254656,-0.05510593852190367,0.04445273425096994,10,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_20,DatasetRegime,CanonicalOriginal,CanonicalOriginal,223,0.2813658202526897,0.1132686084142395,1.574406707077572,62.7445779163498,0.5381165919282511,0.4108746937921784,0.28074556738231343,1,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_20,DatasetRegime,092022,2022,57,0.7288547941253873,0.3333333333333333,2.2602154901187594,41.54472326514708,0.5789473684210527,0.27205020763714677,0.18588852283562296,2,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_20,DatasetRegime,092020,2020,50,0.5237359725209948,0.316951192961336,2.3840463247227777,26.18679862604974,0.58,0.1714808390490734,0.11717072426557837,3,Positive,Descriptive contribution only
