Candidate,ValidationMode,DatasetCode,RegimeYear,TimeBlock,RegimeWeek,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeBlock,ContributionRankBestToWorst
PriorSlope_DominantPressureValue_Q3,Reference,122017,2017,B02_2017-W43,2017-W43,16,0.08256908872061813,-0.06580493537015276,1.1216966753655362,1.3211054195298901,0.5,0.006677362799293505,0.00256051496313307,False,51
PriorSlope_DominantPressureValue_Q3,Reference,092022,2022,B08_2022-W36,2022-W36,2,0.6273902749954471,0.6273902749954471,inf,1.2547805499908942,1.0,0.006342132006973175,0.002431966689564652,False,52
PriorSlope_DominantPressureValue_Q3,Reference,032024,2024,B05_2024-W07,2024-W07,10,0.10473118719312872,-0.2551240105299929,1.1222880583549877,1.0473118719312873,0.3,0.005293507413951077,0.0020298589949780265,False,53
PriorSlope_DominantPressureValue_Q3,Reference,LegacyGenerated,LegacyGenerated,B03_2024-W31,2024-W31,2,0.4338662962447516,0.4338662962447516,2.1083251162135515,0.8677325924895032,0.5,0.0043858463126173145,0.0016818054443060698,False,54
PriorSlope_DominantPressureValue_Q3,Reference,062019,2019,B05_2019-W20,2019-W20,9,0.08272670398248677,0.1191489361702127,1.195466815649567,0.744540335842381,0.5555555555555556,0.0037631863949937608,0.0014430390205036965,False,55
PriorSlope_DominantPressureValue_Q3,Reference,122023,2023,B07_2023-W48,2023-W48,11,0.06452956550944458,0.0903225806451613,1.1209593797500268,0.7098252206038904,0.5454545454545454,0.0035877231687894725,0.0013757555390335543,False,56
PriorSlope_DominantPressureValue_Q3,Reference,062021,2021,B03_2021-W18,2021-W18,12,0.05080485885740809,0.41993003498250875,1.1265726587450997,0.6096583062888971,0.6666666666666666,0.003081441976176574,0.001181615935090611,False,57
PriorSlope_DominantPressureValue_Q3,Reference,032024,2024,B01_2024-W03,2024-W03,2,0.24045863040191556,0.24045863040191556,3.622144112478032,0.4809172608038311,0.5,0.0024307363964734528,0.0009320950653244355,False,58
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B11_2020-W31,2020-W31,5,0.058896127045859725,0.2545454545454546,1.163951642006496,0.2944806352292986,0.6,0.001488415693194384,0.0005707508740111491,False,59
PriorSlope_DominantPressureValue_Q3,Reference,122022,2022,B03_2022-W44,2022-W44,9,0.028867284600213247,-0.5711297071129706,1.0334450272946833,0.25980556140191924,0.3333333333333333,0.0013131548513153984,0.0005035449992412592,False,60
PriorSlope_DominantPressureValue_Q3,Reference,032024,2024,B04_2024-W06,2024-W06,14,0.0037038444194801685,0.10883415747432479,1.0059825782855383,0.05185382187272236,0.5714285714285714,0.00026208868426057827,0.00010050105376752524,False,61
PriorSlope_DominantPressureValue_Q3,Reference,122022,2022,B05_2022-W46,2022-W46,3,-0.04580611562333725,-0.0429777436684574,0.847248639652425,-0.13741834687001175,0.3333333333333333,-0.0006945639187951775,0.0002663388766468645,True,62
PriorSlope_DominantPressureValue_Q3,Reference,062019,2019,B07_2019-W22,2019-W22,11,-0.01809249338502996,0.2692307692307692,0.9650434931629753,-0.19901742723532956,0.5454545454545454,-0.0010059087983343366,0.00038572781008016965,True,63
PriorSlope_DominantPressureValue_Q3,Reference,122023,2023,B06_2023-W47,2023-W47,7,-0.04278440573523986,-0.2170542635658915,0.8869744764562053,-0.29949084014667904,0.2857142857142857,-0.001513739149928108,0.0005804614576403348,True,64
PriorSlope_DominantPressureValue_Q3,Reference,CanonicalOriginal,CanonicalOriginal,B04_2026-W17,2026-W17,64,-0.005243727807012766,0.10586371137113709,0.9897449368921329,-0.335598579648817,0.515625,-0.0016962412220216073,0.0006504440691059928,True,65
PriorSlope_DominantPressureValue_Q3,Reference,LegacyGenerated,LegacyGenerated,B04_2024-W32,2024-W32,7,-0.06243624863911422,0.1204424416222859,0.8708376244283613,-0.4370537404737995,0.5714285714285714,-0.002209033696168104,0.000847080502156037,True,66
