Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Instrument,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeCell,ContributionRankBestToWorst
CCRRR,Spacing_20,DatasetRegime,062021,2021,NQ,4,-0.6046530945934251,-0.6928588207657975,0.37807110270390565,-2.4186123783737004,0.5,-0.1153751432040956,0.0366896921855907,True,21
CCRRR,Spacing_20,DatasetRegime,122017,2017,NQ,12,-0.31516792223554363,-0.5163934426229508,0.6465446311845895,-3.7820150668265238,0.3333333333333333,-0.1804135850113212,0.05737214027509265,True,22
CCRRR,Spacing_20,DatasetRegime,122022,2022,NQ,2,-2.0,-2.0,0.0,-4.0,0.0,-0.19081212721101679,0.060678912443607395,True,23
CCRRR,Spacing_20,YearAggregate,CanonicalOriginal,CanonicalOriginal,ES,18,0.7931229082118346,0.1799604482531311,3.0161462114035165,14.276212347813024,0.6111111111111112,0.6810186116505969,0.2696485582084341,False,1
CCRRR,Spacing_20,YearAggregate,CanonicalOriginal,CanonicalOriginal,NQ,73,0.07846063322544977,0.0,1.1337567805367919,5.727626225457834,0.4931506849315068,0.273225135987304,0.10818318725051146,False,2
CCRRR,Spacing_20,YearAggregate,2023,2023,NQ,6,0.87154878550938,0.7972660967914088,2.833070890915873,5.22929271305628,0.6666666666666666,0.2494531165968345,0.09877068273935458,False,3
CCRRR,Spacing_20,YearAggregate,LegacyGenerated,LegacyGenerated,NQ,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.22654943334279676,0.0897019949510059,False,4
CCRRR,Spacing_20,YearAggregate,2024,2024,NQ,3,0.9163873851844405,0.4726065301604869,2.3745810777766607,2.7491621555533214,0.6666666666666666,0.13114336973728838,0.05192607068776929,False,5
CCRRR,Spacing_20,YearAggregate,2020,2020,ES,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.11756217852731592,0.04654861320588621,False,6
CCRRR,Spacing_20,YearAggregate,2022,2022,ES,4,0.4363572143035759,0.9773655913978495,1.8727144286071518,1.7454288572143035,0.75,0.08326224828513884,0.03296759415849758,False,7
CCRRR,Spacing_20,YearAggregate,2021,2021,ES,2,0.0060287081339713,0.0060287081339713,1.0338345864661656,0.0120574162679426,0.5,0.0005751753116887117,0.00022774002187405838,False,8
CCRRR,Spacing_20,YearAggregate,2017,2017,ES,6,-0.019898586440239147,-0.0842127479949346,0.9155174120369627,-0.11939151864143488,0.5,-0.005695337410731489,0.0022550624829358232,True,9
CCRRR,Spacing_20,YearAggregate,2019,2019,ES,3,-0.29434202161474887,0.5384615384615384,0.5584869675778767,-0.8830260648442466,0.6666666666666666,-0.042123020453925984,0.016678562874010063,True,10
CCRRR,Spacing_20,YearAggregate,2023,2023,ES,4,-0.24928263988522226,-1.2058823529411764,0.7739837398373984,-0.997130559540889,0.25,-0.04756615079327712,0.018833764248887684,True,11
CCRRR,Spacing_20,YearAggregate,2016,2016,NQ,2,-0.5082570100042272,-0.5082570100042272,0.0,-1.0165140200084544,0.0,-0.04849080062440882,0.01919987831617878,True,12
CCRRR,Spacing_20,YearAggregate,2016,2016,ES,4,-0.2570707559339525,-0.328125,0.34807499642192646,-1.02828302373581,0.25,-0.04905221778350159,0.01942217081290795,True,13
CCRRR,Spacing_20,YearAggregate,2019,2019,NQ,4,-0.33728849786340714,-0.42891583054626525,0.42340723283470705,-1.3491539914536286,0.25,-0.0643587357611252,0.025482769500297826,True,14
CCRRR,Spacing_20,YearAggregate,2022,2022,NQ,4,-0.37704027105077664,-0.7615571776155718,0.6229597289492234,-1.5081610842031066,0.5,-0.07194385616341704,0.028486089446808686,True,15
