Candidate,ValidationMode,Breakdown,VolumeCoverageGroup,ExplicitVolumeAvailable,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,Instrument,DatasetCode,RegimeYear
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,VolumeEnabled,True,83,0.05580280148715114,0.0585774058577405,1.085049127474398,4.631632523433544,0.5060240963855421,0.023410009719722694,0.016608517833115802,All,032024,2024
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,VolumeEnabled,True,84,-0.027821256624953425,-0.2024597116200169,0.9560451749139554,-2.3369855564960877,0.4523809523809524,-0.011812002423687086,0.008380169647402349,All,062016,2016
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,VolumeEnabled,True,81,-0.12141556989132347,-0.0408163265306122,0.7935491137933453,-9.834661161197202,0.48148148148148145,-0.04970806993192346,0.03526599842539056,All,062019,2019
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,VolumeEnabled,True,36,0.42771556471114275,-0.0126126126126126,1.7809219013628972,15.39776032960114,0.4722222222222222,0.07782606179444995,0.0552146517950957,All,062023,2023
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,VolumeEnabled,True,180,-0.036820500278090015,-0.03553299492385785,0.9412174308146745,-6.627690050056202,0.45555555555555555,-0.03349883387901106,0.023766157576577438,All,122017,2017
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,VolumeEnabled,True,81,-0.2680485056542336,-0.3083700440528634,0.6060230311099447,-21.71192895799292,0.41975308641975306,-0.10974024069676083,0.0778565565091172,All,122023,2023
PriorSlope_DominantPressureValue_Q3,Reference,ByInstrument,VolumeEnabled,True,232,-0.11865118008618832,-0.17454329345494946,0.8072609024473167,-27.52707377999569,0.43103448275862066,-0.13913216592310876,0.10884459689347505,ES,,
PriorSlope_DominantPressureValue_Q3,Reference,ByInstrument,VolumeEnabled,True,313,0.022508629096766604,0.0,1.0352226718262494,7.045200907287947,0.48562300319488816,0.0356090905058989,0.027857376302183233,NQ,,
PriorSlope_DominantPressureValue_Q3,Spacing_10,AllInstruments,LegacyOrNoExplicitVolume,False,598,0.30977678488415994,0.17267839139688584,1.6117739539583618,185.24651736072764,0.5451505016722408,1.0709021371171268,0.9379034229271238,All,,
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,LegacyOrNoExplicitVolume,False,60,0.3542602472082953,0.1479856584093872,1.7945688047892505,21.255614832497717,0.5666666666666667,0.12287779373220219,0.0862444650867792,All,062021,2021
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,LegacyOrNoExplicitVolume,False,56,0.4405783046474218,0.2821399839098955,1.9855280009203298,24.67238506025562,0.5535714285714286,0.1426299952368542,0.10010797940709332,All,092020,2020
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,LegacyOrNoExplicitVolume,False,61,0.7832902248091478,0.4768856447688564,2.44937739900325,47.780703713358015,0.6065573770491803,0.2762181899482396,0.19386977350229934,All,092022,2022
