APVA Neutral Failure Timing Study v0.1 - Aggregate
================================================================================================
Instrument: ALL
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv; .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv; .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
ReferenceFailureCount: 2331
StableControlCount: 16494
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 1051 | 931 | 80 | 40 | 45.09%
NeutralProcessing_Age6-10 | 586 | 507 | 40 | 39 | 25.14%
NeutralProcessing_Age3 | 276 | 242 | 19 | 15 | 11.84%
NeutralProcessing_Age5 | 166 | 145 | 14 | 7 | 7.12%
NeutralProcessing_Age11-20 | 141 | 126 | 5 | 10 | 6.05%
NeutralProcessing_Age4 | 100 | 90 | 8 | 2 | 4.29%
NeutralProcessing_Age21+ | 11 | 11 | 0 | 0 | 0.47%

2. Warning Window Signal Table
FailureNode | AgeBucket | Horizon | Signal | FailureMean | ControlMean | EffectSize | ReplicationCount
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure | 29 | NeutralProcessing_Age6-10
4 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 28 | NeutralProcessing_Age5
3 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 26 | NeutralProcessing_Age4
6-10 | VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 25 | NeutralProcessing_Age6-10
5 | RangePressure+VolumePressure+PolarityInstability | 24 | NeutralProcessing_Age6-10
2 | RangePressure+VolumePressure+CloseExtremePressure+PolarityInstability | 24 | NeutralProcessing_Age3
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 24 | NeutralProcessing_Age6-10
11-20 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 23 | NeutralProcessing_Age11-20
6-10 | VolumePressure+CloseExtremePressure+PolarityInstability | 23 | NeutralProcessing_Age6-10
5 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 23 | NeutralProcessing_Age6-10
4 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure | 23 | NeutralProcessing_Age5
4 | RangePressure+VolumePressure+EfficiencyPressure+PolarityInstability | 22 | NeutralProcessing_Age5
3 | VolumePressure+CloseExtremePressure+PolarityInstability | 22 | NeutralProcessing_Age4
6-10 | RangePressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 22 | NeutralProcessing_Age6-10
2 | VolumePressure+CloseExtremePressure+PolarityInstability | 21 | NeutralProcessing_Age3
3 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 21 | NeutralProcessing_Age4
3 | BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 20 | NeutralProcessing_Age4
6-10 | RangePressure+BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 20 | NeutralProcessing_Age6-10
3 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 20 | NeutralProcessing_Age4
5 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 20 | NeutralProcessing_Age6-10
2 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 19 | NeutralProcessing_Age3
5 | RangePressure+VolumePressure+EfficiencyPressure+PolarityInstability | 19 | NeutralProcessing_Age6-10
4 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 19 | NeutralProcessing_Age5
2 | VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 19 | NeutralProcessing_Age3

9. Missed Failure Anatomy Table
FailureNode | DestinationFamily | Count | TopMissingSignal
