APVA Excursion Destinations Study v0.1 - Aggregate
================================================================================================
Instruments: 6E, CL, NQ

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
ExhaustionPersistence | VolumeRelativeToPrevious | t-5 | 1.0026 | 0.9474 | 0.4645
ExhaustionPersistence | VolumeRelativeToRollingMean | t-1 | 2.1178 | 1.5575 | 1.3401
ExhaustionPersistence | VolumeRelativeToRollingMean | t-2 | 0.7045 | 0.6046 | 0.3789
ExhaustionPersistence | VolumeRelativeToRollingMean | t-3 | 0.6502 | 0.5648 | 0.3857
ExhaustionPersistence | VolumeRelativeToRollingMean | t-5 | 0.6378 | 0.6234 | 0.2516
ExhaustionPersistence | VolumeRelativeToSessionMean | t-1 | 1.4884 | 1.1808 | 1.0975
ExhaustionPersistence | VolumeRelativeToSessionMean | t-2 | 0.5335 | 0.4309 | 0.4067
ExhaustionPersistence | VolumeRelativeToSessionMean | t-3 | 0.5076 | 0.3754 | 0.4406
ExhaustionPersistence | VolumeRelativeToSessionMean | t-5 | 0.5177 | 0.5259 | 0.3377
ExhaustionPersistence | EfficiencyRatio | t-1 | 0.6696 | 0.6667 | 0.2158
ExhaustionPersistence | EfficiencyRatio | t-2 | 0.3404 | 0.3333 | 0.2463
ExhaustionPersistence | EfficiencyRatio | t-3 | 0.3796 | 0.3750 | 0.2907
ExhaustionPersistence | EfficiencyRatio | t-5 | 0.4164 | 0.4000 | 0.2961
ExhaustionPersistence | CloseLocation | t-1 | 0.5360 | 0.5000 | 0.3456
ExhaustionPersistence | CloseLocation | t-2 | 0.4390 | 0.4286 | 0.2979
ExhaustionPersistence | CloseLocation | t-3 | 0.5057 | 0.5000 | 0.2971
ExhaustionPersistence | CloseLocation | t-5 | 0.4476 | 0.4000 | 0.3148
ExhaustionPersistence | MemoryStrength | t-1 | 0.2213 | 0.2213 | 0.0000
ExhaustionPersistence | MemoryStrength | t-2 | 0.2577 | 0.2213 | 0.0453
ExhaustionPersistence | MemoryStrength | t-3 | 0.2943 | 0.3142 | 0.0660
ExhaustionPersistence | MemoryStrength | t-5 | 0.2939 | 0.2672 | 0.0486
ExhaustionPersistence | BranchEntropy | t-1 | 1.1786 | 1.1786 | 0.0000
ExhaustionPersistence | BranchEntropy | t-2 | 1.0124 | 1.1786 | 0.2069
ExhaustionPersistence | BranchEntropy | t-3 | 0.8172 | 0.7548 | 0.3325
ExhaustionPersistence | BranchEntropy | t-5 | 0.9870 | 1.1786 | 0.2745
ExhaustionPersistence | PolarityFlipFlag | t-1 | 0.6471 | 1.0000 | 0.4779
ExhaustionPersistence | PolarityFlipFlag | t-2 | 0.7255 | 1.0000 | 0.4463
ExhaustionPersistence | PolarityFlipFlag | t-3 | 0.6667 | 1.0000 | 0.4714
ExhaustionPersistence | PolarityFlipFlag | t-5 | 0.7255 | 1.0000 | 0.4463
ConstructiveEmergence | RangeRelativeToPrevious | t-1 | 1.6099 | 1.5714 | 0.5856
ConstructiveEmergence | RangeRelativeToPrevious | t-2 | 1.3325 | 1.0116 | 0.9734
ConstructiveEmergence | RangeRelativeToPrevious | t-3 | 1.1526 | 1.0730 | 0.6340
ConstructiveEmergence | RangeRelativeToPrevious | t-5 | 1.0905 | 0.8509 | 0.7064
ConstructiveEmergence | BodyRelativeToPrevious | t-1 | 8.0561 | 1.0000 | 13.3830
ConstructiveEmergence | BodyRelativeToPrevious | t-2 | 1.2990 | 0.4242 | 2.2090
ConstructiveEmergence | BodyRelativeToPrevious | t-3 | 1.3567 | 1.0000 | 1.4044
ConstructiveEmergence | BodyRelativeToPrevious | t-5 | 1.0549 | 0.5556 | 1.4268
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-1 | 1.6099 | 1.5714 | 0.5856
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-2 | 1.3235 | 1.0116 | 0.9734
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-3 | 1.1198 | 1.0730 | 0.5768
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-5 | 1.0905 | 0.8509 | 0.7064
ConstructiveEmergence | VolumeRelativeToPrevious | t-1 | 1.8206 | 1.2126 | 1.9222
ConstructiveEmergence | VolumeRelativeToPrevious | t-2 | 1.3560 | 1.1433 | 0.6809
ConstructiveEmergence | VolumeRelativeToPrevious | t-3 | 1.0415 | 0.9086 | 0.4242
